question,answer
What are the two most common silicates?,['boron silicate and silicates of iron and carbon']
A species that benefits and harms the host organism is called a what?,['virus']
What type of diseases occur when the immune system attacks normal body cells?,['autoimmune diseases']
What system possesses a memory component that allows for an efficient and dramatic response upon reinvasion of the same pathogen?,['synapse']
What system consists of organs that break down food and absorb nutrients such as glucose?,['chloroplasts']
What do you call water that flows out of the ground where an aquifer meets the surface?,['subsoil']
How many atoms does water contain?,"['1,073,741,009']"
What are most cells surrounded by?,['membrane']
What is usually the most visible part of the flower?,['petals']
What adaptation helps prey hide and predators sneak up on prey?,['a simple set of legs']
What is the conversion of a solid to a gas called?,['reaction of gases']
"In a plant, the flower contains what?",['chlorophyll of leaves']
What is it called when ice changes to liquid water?,['convection']
"In relation to electrical current, what property will a narrow wire have more of than a wide wire?",['resistance']
What lines the passages of the nose and senses chemicals in the air?,['olfactory system']
Excessive exposure to what is the main cause of skin cancer?,['high temperature']
What type of components of the biosphere do chemical elements and water pass through during ecosystem recycle?,['polysaccharide pathway']
What happens to the pressure when more gas is added to a rigid container?,['more gas is added']
"Which science is an extension of genetics, evolution, anatomy, physiology, and other biological disciplines?",['biology']
A vector is an organism that carries what disease-causing microorganisms from one person or animal to another?,['viruses']
What term is used to describe the development of new technology?,['innovation']
"Matrix is the term for the fluid-filled interior of what structure, where most of the cell’s atp is made?",['cytoplasm']
Prophase is preceded by a preprophase stage in what type of cells?,['prokaryotic cells']
What is the transition from solid to vapor is called?,['transition from solid to liquid']
"The five human senses are taste, touch, vision, hearing and one more. what is it?","['optic nerve, which allows a person to experience visual images']"
What term is used to describe organic compounds such as sugars and starches?,['carbohydrate']
"What is the name of the system that consists of a hierarchy of taxa, from the kingdom to the species?","['phylum, class, order, genus']"
What navigation technology works on the same principle as echolocation?,['ultrasonic echo']
What causes the wheels of the car to turn?,"[""the car's axles""]"
Monomers of condensation polymers must contain how many functional groups so that each monomer can link up with two other monomers?,['a ring']
"If the water vapor condenses in liquid droplets as clouds form, what is released in the atmosphere?",['rain']
Digestion of proteins begins with acids in what organ?,['liver']
"In the body, in which organ does chemical digestion mainly take place?",['liver']
"The male gametophyte releases what, which swim - propelled by their flagella - to reach and fertilize the female gamete or egg?",['male gamete']
Spongy bone is found inside bones and is lighter and less dense than compact bone because it is what?,['a substitute for compact bone structure']
On what day of the cycle does ovulation usually occur?,['sperm cell']
Water found on the surface of the earth is referred to as what?,['ice']
What is the measurement of something along it's greatest dimension called?,['dimension']
What part of the eye allows light to enter?,['lens']
What three parts is the earth divided into?,"['crust, mantle, and core']"
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,['hydrogen ions']
"Often generated by molecular cloning, transgenic organisms possess what from a different species?","['DNA, DNA chain']"
The basic voltaic cell variations are the dry cell and the what?,['cells moving in a solid state']
"The leaves of what plant genus are the source of the compound ephedrine, which is used in medicine as a potent decongestant and is similar to amphetamines?",['Ephedra']
Aspirin and ibuprofen reduce pain by inhibiting the synthesis of what?,['prostaglandins']
What is the most direct way of recovering a metal from its ores?,['distillation']
What term is used to describe a cancer that has spread?,['invasive cancer']
"Like the frame of a house, what gives the cell an internal structure?",['a nucleus']
"Traditionally, what preventative measure used weakened or inactive forms of microorganisms or viruses to stimulate the immune system?",['antibiotics']
Downhill skiiers gain little advantage from a running start because the initial kinetic energy is small compared with the gain in what other energy form?,['forward acceleration']
Each species has a particular way of making a living which is called its what?,['cell-cell']
Where does a crossover occur on a chromosome?,['middle of the cell']
What term means the set of processes by which metals are extracted from their ores and converted to more useful forms?,['separation']
A battery is a multiple connection of what kind of cells?,['two or more pairs per cell']
"A rock that contains important minerals is called what, a term associated with mining?","['diamond, emerald, greenstone']"
What color is phosphate mineral turquoise?,['purple']
What is the purpose of a bird using flashy displays?,['courtship']
Free fatty acids are carboxylic acids that contain long chains of what?,"['carbon, carbon monoxide, nitrogen and oxygen']"
What can slow down the increase of viruses in the blood?,['hemoglobin']
What is citrate an ionized form of?,['citrate + hydrogen ions']
What phase does the nuclear envelope begin to break down?,['neutral phase']
What do methanogens act as in sewage treatment plants?,['break down organic waste']
What is the term for the relatively stable state inside the body of an animal?,['body plan']
Farming practices leave some soil exposed and vulnerable to what natural process?,['rain and dust']
"The right and left hip bones, with the addition of the sacrum and coccyx form what section of the skeleton?",['the femur']
"What broad group of animals are the first true tetrapods, vertebrates with four limbs?",['mammals']
All of the petals together are called what?,['flower bud']
"Oogenesis, which is gametogenesis in females, begins with what type of ste cells?",['gonad']
What do most living things use to make atp from glucose?,"['ascorbate, used for aerobic metabolism']"
In what type of organisms are daughter cells individuals?,['eukaryotic cells']
"The products of what process are needed for cellular respiration, and vice versa?",['polysaccharides']
What is the study of how forces affect the motion of objects?,['forces']
"In both eukaryotes and prokaryotes, ribosomes are the non-membrane bound organelles where what main product of the cell is made?",['ribose']
Honeybees doing the waggle dance or spiders spinning a web are examples of what type of behavior?,['behaviors']
"What substance, which forms igneous rock, flows out in rivers of lava when it reaches the surface?",['magma']
What is the name of the first stage of photosynthesis?,['photorespiration']
What is the term for when an embryo fixes itself to the side of the uterus?,"['protozoan infection, a zygote']"
What is the broadest category in the linnaean system?,['organism']
Photosynthesis is an endothermic reaction that gets its energy from what?,['energy that is converted to usable chemical energy by the reaction of O 6 2 + H 2 0']
"In an ecosystem, what do you call organisms like lions that capture and kill other animals for food?",['predator']
What are tiny hairs that line the bronchi called?,['a bronchial epithelium']
"By the year 2050, 25 percent of the population of the united states will be 60 years of age or older. the cdc estimates that 80 percent of those 60 years and older have one or more chronic disease associated with deficiencies of this?","['cell wall AARON: If you want to find out about the human genome, I suggest you pick a cell - you have the sequence (or a piece of it) on your hand, and you can take it off and put it in']"
In what type of animals may a body cavity be present or absent?,['amphibians']
What disease is unpreventable in the type one form but may be prevented by diet if it is of the second type?,['cancer']
"Highly reactive nonmetals, which only accept electrons and do not give them up, make poor what?",['catalysts']
When liquid water changes to water vapor it is called?,['condensation']
"The hypothalamus is actually part of the brain, but it also secretes what?",['hormones']
Where do angiosperms form seeds?,['epidermis and skin']
Ecological succession refers to the change in the numbers and types of species that live in what groups?,['succession of life-forms between periods of different weather and landforms by way of the ocean']
Cysteine is a type of what fundamental building block of protein?,['amino-acyl group']
"Chitin, also found in the exoskeleton of insects, gives structural strength to the cell walls of fungi. the cell wall protects the cell from what?",['heat']
"Monosaccharides, disaccharides, and polysaccharides are types of what kind of macromolecule?","['large macromolecules which contain carbon, hydrogen, oxygen, nitrogen, and sulfur compounds']"
What is the watery fluid that bathes tissues and organs and contains protective white blood cells but does not contain erythrocytes?,['mucous']
A cold front is formed when a cold air mass runs into what?,['low altitude atmosphere close to a hot one']
A fever also causes the immune system to make more of what?,['white blood cells']
How does the water cycle end?,['osmosis']
What are the hormones that cause a plant to grow?,['chlorophyll to photosynthetic pigments to enzymes']
"Associated with hair follicles, what type of oil gland is found all over the body and helps to lubricate and waterproof the skin and hair?",['sebaceous gland']
"In a solution, what is the substance present in the lesser amount called?",['oil']
What is the most abundant metal of the earth's crust?,['copper']
Mollusks have a true coelom and a complete what?,['shell']
"The components of a mixture keep their own identity when they combine, so they retain what type of properties, such as boiling point and ability to dissolve?",['salt']
"Radioactive atoms, nuclear explosions, and stars produce what types of rays.",['gamma ray']
How many openings do adult tunicates have that siphon water in and out of the body?,['only one opening']
A solenoid wrapped around a bar of iron or other ferromagnetic material forms what?,['a current']
Enzymes can catalyze up to several million reactions per what?,['glucose phosphate']
A bee will sometimes do a dance to tell other bees in the hive where to find what?,['antennae']
The sun gives off energy in tiny packets called what?,['photons']
Why do snakes have venomous bites?,['The toxin is in its plasma membrane']
Pairs of nitrogenous bases are attached to each other by?,['membrane']
What particles ancient greeks propose that matter consists of ?,['plasma']
What do nectar-feeding bats do to flowers?,['sting their long curved tails into a flower opening']
"Oxygen, carbon dioxide, atp, and nadph are reactants in what process that plants use to produce food?",['transpiration']
What term means the amount of water vapor in the air?,['dew point']
What is the name of the skull that covers the brain and protects it?,['cranium']
Which chemist developed a process to remove carbon and dust particles in smoke?,['Richard Feynman']
What is the general name for a group of atoms derived from an alkane?,['kieselguhr']
What causes the alpine tundra to be so cold?,['low oxygen levels']
What part of the male reproductive system is involved with the most common disorders?,['prostate']
What are living things that produce food for themselves and other organisms called?,['algae']
"What is a therian mammal in which the embryo is born at an early, immature stage?",['embryonic zebra fish']
What branch of science is concerned with matter and the changes that it can undergo?,['biochemistry']
What is the radioactive process used in nuclear power plants and one type of nuclear bomb?,['fission']
What protects the brain and spinal cord in the central nervous system?,['myelin']
What refers to the ability to change or move matter and is required by all life processes and living things?,['electric current']
"The speed of a wave through connected harmonic oscillators depends on the distance between them, the spring constant, and the what?",['mass distance angle']
Water is used by the plant to move materials up from the roots to make what?,['stems and roots']
What does the inside of all cells also contain?,['nucleus']
What involves sensing and focusing light from people and objects?,['light harvesting in eyes']
"While numerous elements can undergo fission, only a few can be used as fuels in what nuclear devices?",['uranium']
"Salicylic acid is used in the synthesis of acetylsalicylic acid, or more commonly called?",['Salicylic acid']
All chemical reactions involve both reactants and what else?,"['oxygen, carbon dioxide, nitrogen, and other molecules']"
"What nervous system is divided into two parts, the sensory division and the motor division?",['optic nerve']
Does atmospheric pressure increase or decrease as the altitude increases?,['atmospheric pressure increases as A-1']
What do experts estimate is the cause for the extinction of hundreds of species every year?,['extinction']
The primary motor cortex is located in which lobe of the brain?,['a major lobe']
The lattice energy is usually the most important energy factor in determining the stability of what?,['molecules']
All organisms can be classified into one of three of this least specific grouping?,"['prokaryotes, eukaryotes, and bacteria']"
What bonding is formed in polar amino acid side chains?,['amines']
Centrioles help organize the chromosomes before cell division so that each daughter cell has the correct number of what?,['chromosomes']
What is the dinosaur genus that's closest to modern birds?,['theropod dinosaurs']
The full range of wavelengths and frequencies of electromagnetic radiation make up the ____________,['X-Ray']
In which constellation is the helix nebula located?,['Milky Way']
"What process is used for cell growth, repair of cuts and replacement of worn out cells?",['mitosis']
What is the transfer of heat by physical contact?,['conduction']
What type of bombs put a much larger fraction of their output into thermal energy than do conventional bombs?,['nuclear fission']
"Fungi, such as black bread mold (rhizopus nigricans), have haploid-dominant what?",['cell cycle']
Isotopes are named for their number of protons plus what?,['different number of neutrons']
Surging hormones will cause adolescents to have what?,['sexual changes']
"What broad group of organisms is characterized by sensory organs, the ability to move, internal digestion and sexual reproduction?",['animals']
Repolarization occurs when the membrane potential begins to move back toward its resting what?,['membrane potential']
There are about 6200 known species of what?,['animals']
"Vultures, raccoons and blowflies are examples of what?",['symbiotic relationship']
Under what type of conditions can populations grow exponentially?,['in aqueous solution']
What happens when mammals raise their hair with tiny muscles in the skin?,['skin expands as it grows thicker']
What system provides a major route for heat flow between the interior and exterior of the body?,['convection']
Where on a jellyfish is the mouth opening located?,['head']
"Under the right conditions, what energy source can be used to eject electrons from a solid material?",['electron']
What is the force that opposes motion between two surfaces that are touching?,['surface tension']
The electrode at which oxidation occurs is called?,['a redox cycle']
What are different versions of a gene known as?,['different versions of a gene']
What is the end product of glycolysis?,['glycogen']
"Proteins are categorized according to shape and what property, which correlates with it?",['a polypeptide molecule']
What is it called when birds keep their eggs warm while the embryos inside develop?,['thermophysio-hygrometric temperature regulation']
What is the term for what the earth rotates on?,['axis of the ecliptic']
The stored chemical energy of trees and other plants is called what?,['glycolysis']
What are atoms of the same element that differ in their numbers of neutrons called?,['isotopes']
"Water is considered a what since it is a polar molecule with slightly positive and slightly negative charges, so ions and polar molecules can readily dissolve in it?",['molecule']
What sort of walls are helpful for keeping a slope stable?,['wall structure']
What development is less risky for the mother?,['embryos can be frozen to be born later']
What is another word for cellular drinking?,['plasma']
The ladybug and the frog both start as eggs and go through what process?,['fasciation']
"Arthropods today have two unusual hox genes, both of which influence what?",['cell membrane']
"Bones, cartilage, and what other thing make up the skeletal system?",['cartilaginous tissue']
A skydiver will reach what when the air drag equals their weight?,['zero to 10 meters high']
What are the most successful phylum of plants?,['algae']
What evolutionary process has adapted protonephridia to different tasks in different environments?,['competition']
"During evolution, something happened to increase the size of what organ in humans, relative to that of the chimpanzee?",['brain']
What contains positive protons and neutral neutrons?,['a nucleus']
"The cell walls of what organisms are strengthened by chitin, unlike plant cell walls, which contain cellulose?",['cell walls are composed primarily of sugars']
What type of energy is produced when two objects move together?,['electromagnetic induction']
Icy objects that have very elliptical orbits around the sun are called?,['asteroids']
What are plant structures that contain male and/or female reproductive organs?,['flowers']
What is the most important source of electromagnetic waves on earth?,['cosmic radiation']
"Vertebrate animals have two major body cavities, the dorsal and what is the other?","['skull, spine, heart']"
"Magnets have a ""north"" and a ""south"" what?",['North is in magnetic north/south']
Which is one of the most frequently studied cartilaginous fish?,"['euryhaline (blue, white and red)']"
"On a global scale, plants and other photosynthetic organisms have generated all of what element in the air?",['oxygen molecules']
The type of bond that forms between molecules is called what?,['covalent bonds']
Water seeps into the ground through permeable material and stops when it reaches what?,['the surface of a dead plant or animal']
Why is closed reduction simpler than open reduction in bone repair?,['simpler']
Certain air pollutants form which liquid when dissolved in water droplets in the air?,['aerosol']
What are reptiles unable to absorb through their skin because of scales?,['no absorption']
What type of bonds are formed by the side-to-side overlap of p orbitals?,['hydrogen bonding']
What cycle is part of cellular respiration and makes atp and naph?,['peri-enzyme respiration']
"One important phenomenon related to the relative strength of cohesive and adhesive forces is capillary action—the tendency of a fluid to be raised or suppressed in a narrow tube, or called this?",['capillary action']
What type of mechanical weathering occurs when one rock bumps against another rock?,['erosion']
Which planet is named after the roman goddess of love?,['Venus']
A cochlear implant aims to restore loss of what sense?,['hearing']
What break down dead organisms and other organic waste and release inorganic molecules back to the environment called?,['carbon dioxide']
"In the case of the moose, predation is an additional factor that regulates what?",['deer antlers']
The simplest organic compounds are known as what?,['carbohydrates']
What indicates horizontal distance and are also found on the map legend?,['a triangle with width proportional to the surface area']
"When exposed to ultraviolet, some substances, such as minerals, glow in characteristic visible wavelengths, a process called this?",['fluorescence']
A high metabolic rate and hair are ways mammals generate and conserve what?,['energy']
What is the most important function of enzymes in animals?,['making enzymes']
Ibuprofen and albuterol are examples of drugs whose _________ have different effects.,['ion channels']
We must remember that the formal charge calculated for an atom is not the actual charge of the atom in the molecule. formal charge is only a useful bookkeeping procedure; it does not indicate the presence of these?,['atoms must always have a positive charge']
What is utilized to analyze simple mendelian inheritance?,['cytogenetics']
What is the physical transformation of an insect moving through stages of life?,['mitosis']
Who wrote the book on the origin of species?,['Darwin']
Bigger ocean waves and waves that carry more sediment cause a greater extent of what?,['sea level rise']
"Who developed a classification system that divided living things into several groups that we still use today, including mammals, insects, and reptiles?",['Aristotle and Democritus']
Angiosperm seed develops inside of what?,['a mineral vein']
"Two significant parts of the heat include the atrium and its counterpart, which is what?",['the nucleus']
"What term is used to describe  the variety of life and its processes, including the variety of living organisms, the genetic differences among them, and the communities and ecosystems in which they occur?",['organism']
"What anatomical structures insulate, protect and provide sensory input?",['vertebrate skeleton']
What does the term decay in chemistry refer to with regards to atoms?,['subatomic decay']
"Recent evidence indicates some of what type of cells remain within the heart, continuing to divide and potentially replace dead cells?",['mitochondria']
How frequently do high tides occur?,"['all the time and often ASSISTANT: When tidal cycles are equal to the length of the day, how fast is tides relative to a day? ASSISTANT: about half as fast']"
What do you call a chemical process used to treat water by destroying a contaminant?,['filtering']
"Illustrating how form follows function, long, slender protein strands that make up what tissue are essential for contracting and relaxing?",['myosin']
An object attached to a spring sliding on a frictionless surface is an uncomplicated type of what device?,['lever']
Nerve cells that sense touch are found mainly where?,['skin']
What blood-carrying structures contain one-way valves that contribute to the return of blood to the heart?,['veins']
What creates new seafloor in the rift valleys?,['tectonic motion of the Earth']
What are the simplest organic compounds?,['amino acids']
What does jupiter reflect a lot of due to its size?,['magnetosphere']
"While ecosystems need a constant input of energy for their organisms, what do ecosystems recycle?",['respiration']
"In astronomy, what are so dense that not even light can escape their gravity?",['black holes']
Where is dna located in prokaryotic cells?,['cytoplasm']
What are plants that grow on other plants called?,['podding']
The process in which a gas changes to a liquid is called what?,['ion exchange']
Most mercury compounds decompose when they are?,['in hydrothermal fluids']
What is the mechanism by which favorable traits become more common in organisms over the course of generations?,['genes']
Lymph vessels make up a circulatory system that is similar to the blood vessels of what system?,['eukaryotic cells']
What is the adaptation that certain animals use to become less visible to predators and prey?,['eyes and ears']
What gland secretes growth hormones?,['pituitary gland']
What is a reptiles skin covered in to protect them from drying out?,['scales']
What type of biomes have water containing little or no salt?,['ocean']
The interaction between atomic orbitals is greatest when they have the same what?,['spin']
What are the only type of elements capable of changing into different elements?,['ions']
"Candida and trichophyton are examples of disease-causing types of what organisms, which become parasitic?",['pathogenic bacteria']
What is defined as the ability to do work?,['a structure which is able to hold a charge']
What are biochemical catalysts that speed up biochemical reactions?,['metabolic enzymes']
"What is the study of water movement, including waves and ocean currents?",['hydrosphere']
"In many places, small hills rise above the ocean floor. these hills are undersea volcanoes, called what?",['underwater volcanoes']
When do gases and liquids become solids?,['solidification']
"Vascular plants all have roots, stems, and what?",['cell wall']
What is the term for materials that have both a defined shape and a defined volume?,['globule']
What is defined as the act of contaminating the environment with waste?,['environmental contamination']
Which part of the atmosphere do greenhouse gasses trap heat in?,['stratosphere']
How are the fetuses of eutherian mammals connected to their mothers during gestation?,['cord of amniotic fluid']
What part of the neuron is a large structure with a central nucleus?,['dendritic spine (small)']
What happens when ionic compounds are dissolved in water?,['separation of atoms']
"In contrast with cnidarians, nematodes show a tubular morphology and circular cross-section. these animals are pseudocoelomates and show the presence of a complete digestive system with a distinct mouth and this?",['intestine']
What term in biotechnology means a genetically exact copy of an organism?,['genome synthesis']
Do most waves strike the shore head on or at an angle?,['Head on']
What is the height above or below sea level called?,['a highland']
What are gases called that absorb heat in the atmosphere?,['air']
Bursitis is the inflammation of a bursa near what?,['kidneys']
Algae produce food using what process?,['photosynthesis']
"In an aqueous solution, what is the solvent?",['water']
What do we call the visible part of the electromagnetic spectrum?,['electromagnetic spectrum']
What are the biggest groups of stars called?,['K-type']
What do we call a simple machine that consists of a rope and grooved wheel?,['lathe']
Soap acts as what kind of agent between grease and water?,['emulsion']
What is the term for something changing from water to ice?,['crystallization']
Most insects reproduce quickly and through what type of reproduction?,['sexually (XY)']
Where is the spinal trigeminal nucleus located?,['brain']
Hydrophilic molecules generally avoid what other kinds of molecules?,['water']
"Can nematodes be a parasite of plants, animals, or both?",['yes the plasmodia']
What is the term for a measure of both speed and direction?,['displacement']
The rocks athe mid-ocean ridge are nearly free of what?,['magnetic minerals']
What type of crust is made of basalt lavas that flow onto the seafloor?,"['mantle, crust, and ocean floor']"
Cells that have a nucleus and other organelles which are membrane-bound are generally called what kinds of cells?,['membrane-bound cytochrome c oxidase']
"After a supernova, what part of a star remains?",['core']
What type of waves transmit the energy of an earthquake?,['seismic waves']
"Groups of three bases form codons, and each codon stands for one what?",['mRNA']
What happens to water vapor as it rises?,['as steam']
The feeding positions in a food chain or web are called?,['food chains']
Radioactive nuclei and particles are represented by which symbols?,['fermions']
How many calories of energy does one gram of protein provide?,['the equivalent of a gram of muscle protein']
What green cell structures of a leaf are visible under a high power microscope?,['plasma membrane']
What structures are at the end of the long air passages in the lungs?,['air sacs']
What model describing atomic structure is often referred to as a planetary model?,['planetary model']
What are formed when cells from the male and female parts of the plant combine?,['pollen']
What do ecologists study at every level?,['biodiversity']
The force of attraction between a positively charged metal ion and the valence electrons it shares with other ions of the metal is called?,['electrostatic repulsion']
What is the energy that matter possesses because of its location or structure?,['electromagnetic radiation']
What were the first plants to evolve?,['fungus']
"With wavelengths from 400-700 nm, what kind of light represents only a very small portion of the spectrum?",['red light']
Lenses that focus light are called what?,['refractive index']
