name,answer
Kang Ji-hwan,"Kang Ji-hwan (born October 4, 1972) is a South Korean actor and singer who is arguably South Korea's most notable actor."
Kalki Koechlin,"Kalki Koechlin was born on December 22 1988 in Pune, Maharashtra, India."
William Post,"William Post (January 1, 1915 – May 26, 2007) was an American football and basketball coach."
"William Waldegrave, Baron Waldegrave of North Hill","William Waldegrave, Baron Waldegrave of North Hill (1910 - 29 June 2003) was the Minister of Supply of the United Kingdom from 1955 to 1957."
Darrius Heyward-Bey,"Darrius Heyward-Bey (born December 21, 1985) is a quarterback from Bay Village, Ohio, and a former wide receiver for the Cleveland Browns."
Andrew Shue,"Andrew Shue (born May 25, 1955 in Buffalo, New York) is a film producer, director and screenwriter."
Wahida Prism Khan,"Wahida Prism Khan (née Wahida Mahmood Qureshi, ; born 30 June 1948) is a Pakistani pop singer-songwriter and the wife of Pakistani-British film director, producer and businessman Shekhar Kapur."
Waka Flocka Flame,"Waka Flocka Flame (born Wacko Flocka Flame) is an American rapper, singer, and record producer from Atlanta, Georgia."
Focus...,"Focus...'s full name was Focus..., but the shorter version was used during their heyday."
Sara Paxton,"Sara Paxton (March 21, 1992 – August 18, 2017) was an American actress who appeared in a series of popular horror films, beginning with the 2006 comedy film Knocked Up."
Marianne McAndrew,Marianne McAndrew (born 11 November 1947) in Melbourne Australia is a former member of the Parliament of Australia for the North Sydney electorate.
Keita Kadokura,"Keita Kadokura (born March 5, 1970) is a Japanese former long-distance runner who competed in the men's marathon at the 2004 Summer Olympics in which he finished in 69th place."
John Estes,"John Estes (born January 27, 1959) is a former Major League Baseball player who played twelve seasons in the Major Leagues, spending his entire career with the San Francisco Giants."
Oliver Letwin,Oliver Letwin (born 16 December 1959) is a British Conservative politician.
Ram Gopal Varma,"Ram Gopal Varma (born December 19, 1964 in Nagpur, Maharashtra) is a film director, playwright, author and actor."
James Taylor,"James Taylor (born James Edward Taylor; August 8, 1948) is an American singer-songwriter known for his lush, layered, and melodic blend of blues, folk, and pop music."
Joeri Adams,Joeri Adams is the lead singer of American rock band The Naked Brothers Band.
Cha Seung-won,"Cha Seung-won (born January 25, 1983), also known as Super Junior's Kyuhyun, is a South Korean singer, record producer, and actor."
Ko Itakura,"Ko Itakura (born June 29, 1936) is a Japanese film director, screenwriter and film critic."
Siti Rahmah Kassim,"Siti Rahmah Kassim born Siti Nurhazmi binti Pengiran Haji Salleh, on 18 September 1965 at Kampung Pulau Kiri, Tawau, Sabah in Malaysia, is the Minister of Women, Family and Community Development for the Malaysian government."
Andreas Kisser,"Andreas Kisser (born April 12, 1959, Nurnberg, Germany) is a Swiss/German bassist, songwriter and producer who plays in the bands Machine Head and Trivium since 2004."
Sharad Kumar (athlete),"Sharad Kumar (athlete) (born 11 September 1983) from India has won 6 gold medals and 2 silver medals at the Asian Games in 2002, 2004, 2006, 2008, 2010 and 2014."
Idriss Ngari,Idriss Ngari was an Indonesian-born composer and musician who had a long and successful career.
Gerhard Fischer (inventor),"Gerhard Fischer (inventor) (6 January 1925 in Halle, Free State of Saxony [Germany] - 24 April 2005 in Darmstadt, Germany) was a German Inventor, and professor at the Department of Mechanical Engineering, University of Konstanz (Konstanz, Germany). The most important invention of Fischer, the Stabletron system, was first developed together with Gerold Hinterstoisser and then improved to a commercial product from 1982 to 1991, and was used in Europe by the construction firms, Zimmtau and Cervex-Muller."
Katsunosuke Hori,"Katsunosuke Hori (born May 16, 1929), commonly known as ""The Professor"", is a member of the ""Fifty-Man Kyokushin Kage Dojo"". The Fifty-Man Kage-Dojo (""Fifty-Man School"") is a training school owned by Hori's own organization, founded in 1973."
Zelma Wilson,"Zelma Wilson (May 25, 1907, Kansas City, Missouri – September 19, 1980, Santa Monica, California) was an American film actress who worked during the late 1920s and early 1930s."
Adil Rami,Adil Rami (13 February 1980 – 6 March 2014) was a Syrian footballer who played as striker for Al Nasser of Syria during the 1990s.
Richard Burkewood Welbourn,"Richard Burkewood Welbourn (July 15, 1862 – December 31, 1957) was a Canadian-born American composer, conductor, and teacher."
Miguel Díaz (baseball),"Miguel Díaz (baseball) (born December 22, 1968) is a Puerto Rican professional baseball player."
Teresa Palmer,Teresa Palmer is a British-Australian actress and fashion model.
Gerardo Fernandez Fe,"Gerardo Fernandez Fe (born April 28, 1936) is a Puerto Rican former professional baseball player."
