question,answer
What type of organism is commonly used in preparation of foods such as cheese and yogurt?,['mesophilic organisms']
What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,['coriolis effect']
Changes from a less-ordered state to a more-ordered state (such as a liquid to a solid) are always what?,['exothermic']
What is the least dangerous radioactive decay?,['alpha decay']
Kilauea in hawaii is the world’s most continuously active volcano. very active volcanoes characteristically eject red-hot rocks and lava rather than this?,['smoke and ash']
"When a meteoroid reaches earth, what is the remaining object called?",['meteorite']
What kind of a reaction occurs when a substance reacts quickly with oxygen?,['combustion reaction']
"Organisms categorized by what species descriptor demonstrate a version of allopatric speciation and have limited regions of overlap with one another, but where they overlap they interbreed successfully?.",['ring species']
Alpha emission is a type of what?,['radioactivity']
What is the stored food in a seed called?,['endosperm']
"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",['active metal']
What is controlled by both genes and experiences in a given envionment?,['animal behaviors']
What tells you how much of the food you should eat to get the nutrients listed on the label?,['serving size']
What are used to write nuclear equations for radioactive decay?,['nuclear symbols']
What is controlled by regulatory proteins that bind to regulatory elements on dna?,['gene transcription']
Boron only occurs naturally in compounds with what element?,['oxygen']
What organ systems link exchange surfaces with cells throughout the body?,['circulatory']
What occurs when the immune system attacks a harmless substance that enters the body from the outside?,['allergy']
"Fertilization is the union of a sperm and egg, resulting in the formation of what?",['a zygote']
The plants alternation between haploid and diploud generations allow it to do what?,['reproduce asexually and sexually']
Most of the chemical reactions in the body are facilitated by what?,['enzymes']
What is the termination of a pregnancy in progress called?,['abortion']
"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?",['dead zones']
Which muscles allow your fingers to also make precise movements for actions?,['intrinsic muscles']
Testing what usually requires making observations or performing experiments?,['hypothesis']
This sharing of electrons produces what is known as a covalent bond. covalent bonds are ~20 to 50 times stronger than what?,['van der waals interactions']
Water molecules move about continuously due to what type of energy?,['kinetic']
A small scale version of what type of map displays individual rock units?,['geologic map']
What is defined as a change in the inherited traits of organisms over time?,['evolution']
"What hormone, which is associated with luteinizing hormone and male sexuality, helps bring about physical changes in puberty?",['testosterone']
Where do angiosperms produce seeds in flowers?,['ovaries']
"In order to create food, what do photosynthetic protists use?",['light energy']
What type of vertebrates are birds?,['endothermic tetrapod']
What type of ions do ionic compounds contain?,['positive and negative']
All living things need air and this to survive?,['water']
The cells of all eukarya have a what?,['nucleus']
What type of plate boundaries produce huge mountain ranges in the ocean basin?,['divergent']
Interstitial carbides are produced by the reaction of most transition metals at high temperatures with what element?,['carbon']
"Fungus-like protist saprobes play what role in a food chain and are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes?",['decomposers']
What are the sites of protein synthesis or assembly?,['ribosomes']
What must replicate in the cell cycle before meiosis i takes place?,['dna']
What phenomenon is primarily the result of plate tectonic motions?,['earthquake']
What is a group of neuron cell bodies in the periphery called?,['ganglion']
Where does most of our food come from?,['angiosperms']
Gases are most ideal at high temperature and what pressure?,['low']
Hard igneous rocks and easily dissolved sedimentary rocks respond very differently to what natural force?,['weathering']
A diet rich in calcium and what vitamin may reduce the risk of osteoporosis and related bone fractures?,['vitamin d']
How many people die from air pollution each year?,['22 million']
What substances serve as catalysts in most of the biochemical reactions that take place in organisms?,['enzymes']
The formation of an amalgam allows the metal to react with what?,['air and water']
A pulley changes the direction of the force t exerted by the cord without changing its what?,['magnitude']
What is the name of the small bumps that contain taste buds and covers the tongue?,['papillae']
"In the absence of air resistance, all falling objects accelerate at the same rate due to what force?",['gravity']
The ability for a plasma membrane to only allow certain molecules in or out of the cell is referred to as what?,['selective permeability']
"In the presence of oxygen, hydrogen can interact to make what?",['water']
What galaxy is our solar system a part of?,['milky way']
The angle at which light bends when it enters a different medium is known as what?,['refraction']
"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",['carbohydrate molecules']
Increasing the temperature of n2 molecules increases what energy of motion?,['kinetic energy']
Which radio frequency should you listen to if you want less noise?,['fm']
What form of radiation is the energy emitted by the sun?,['electromagnetic']
What is the suns innermost layer called?,['core']
A growth spurt requires constant divisions of what?,['cells']
What's the term for the gradual progression from simple plants to larger more complex ones in an area?,['primary succession']
"Fungi may form mutualistic relationships with plants, algae, cyanobacteria, and what?",['animals']
Which cycle tracks the flow of nitrogen through an ecosystem?,['nitrogen cycle']
What consequence of a tornado is responsible for most injuries and deaths?,['flying debris']
What are the only truly innate behaviors in humans called?,['reflexes']
What happens to the density of air as the altitude decreases?,['decreases']
How do some animals change their depth?,['by changing their density']
What phenomenon is crowding out other species and making all the other causes of extinction worse?,['human overpopulation']
Dessication is an extreme and usually fatal form of what in animals?,['dehydration']
Internal and external forms of what life process occur as simple diffusion due to a partial pressure gradient?,['respiration']
The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?,['mass extinction']
