question,correct_answer,wrong_answer
how are glacier caves formed?,A glacier cave is a cave formed within the ice of a glacier .,"['A cave is a type of underground chamber, mostly known for having formed within the limestone rock', 'Caves can be found in many places, such as river banks, hillsides, the roof of', 'A glacier is a slowly flowing mass of ice that covers parts of many land areas of the']"
how much is 1 tablespoon of water,This tablespoon has a capacity of about 15 mL.,"['A tablespoon is an unit of volume in the metric system and imperial systems.', 'A tablespoon of water would weigh about 0.7 ounces, about', 'One tablespoon (tbsp) is a measure of volume and capacity equal to 3 te']"
how much is 1 tablespoon of water,In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.,"['For nutrition information, use this version of tablespoon (a dining utensil', 'A U.S. customary measurement of volume equal to a fluid tablespoon', 'An imperial tablespoon is equivalent to 3 imperial fluid ounces or 3.2']"
how much is 1 tablespoon of water,In Australia one tablespoon (measurement unit) is 20 mL.,"['A tablespoon (symbol: tbsp or tsp) is a unit of measurement of', 'In the metric system a tablespoon is a measure of capacity equal to 15 mL', '1 tablespoon is a measurement used in U.S.']"
how much are the harry potter movies worth,"The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.","[""It's difficult to give an exact number, but we can estimate that Harry Potter earns"", 'The films have been estimated to be worth around $25 billion at the box office, which is', 'The net worth of the series is around $34 billion which makes it the highest grossing movie']"
how a rocket engine works,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .","['A rocket engine or rocket motor, also called a rocket, is a jet engine that', 'A rocket, which can range from handheld propelled projectiles to multi-stage rock', 'The rocket engine is basically a tube with an exhaust nozzle on one end.']"
how are cholera and typhus transmitted and prevented,"Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.","['The disease is transmitted through contact with infected individuals or infected animals.', 'The first outbreaks in the United States occurred in a military camp during the War of 1', 'In the 18th and 19th centuries, Cholera spread through London,']"
how did anne frank die,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.","['Anne Frank, later Anne Frank -Furth (Annelies Marie ""Anne"" Frank', 'Anne Frank was a German-Dutch Jewish teenager who died in the Bergen-B', 'Anne Frank (12 June 1929 – early March 1945)']"
how are aircraft radial engines built,The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.,"['radial engine is one type of engine that is used in aircraft propulsion.', 'The airplane engine is built in a series of steps, which is why it is also called a', 'Most modern aircraft propulsion is provided by reciprocating engines, usually mounted as an inverted p']"
how deep can be drill for deep underwater,Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.,"['To determine the maximum pressure and depth that water-based drilling fluids can support, and the', 'Sub-sea operations, also referred to as deep sea or deepwater operations, are those carried', 'Deepwater drilling, also known as deep offshore drilling or deep ocean drilling,']"
