name,answer
Kang Ji-hwan,"Kang Ji-hwan (born May 20, 1977) is a South Korean actor. He is best known for his leading roles in Korean television dramas Beautiful Mind (2016), Kill Me, Heal Me (2015), and Monarch (2011), and the film My Sassy Girl (2001). Kang is also known to many as the male lead in Be Strong, Geum-soon! (2005) He is currently under RISING Star Entertainment, and will be released from his mandatory military service on September 28, 2016. Kang made his acting debut in 1998 playing a minor role in Dear Fata. But this was not his first experience on screen, as Kang was also an actor in a commercial for SK Telecom in 1986. Two years later, he appeared in TV commercial for Pepsi and became a model for a cosmetic brand. In 1999, he appeared in the movie Phantom: Office Worker Choi (also known as The Secret Agent).
"
Kalki Koechlin,"Kalki Koechlin (born 10 January 1984) is an Indian film actress of French descent. The daughter of French parents, she was brought up in India and struggled with folks back home for not being more 'French'. Kalki had a fairly cosmopolitan upbringing. Her father, Joel Koechlin, is a graphic designer whereas her mother, Anita, is a housewife. Although, brought up in a typical Catholic family, she has been quite liberal and enjoyed a pretty bohemian existence in her teenage years. After her schooling at Holy Angels Convent School and then Mount Carmel School (Delhi), she went abroad for further studies. During her time in college in the UK she took up acting. And in 2010 she came to India for the release of her film. Then she made a few more films, got some good response and has been working in Indian films ever since. She also received several awards for her performances. In 2014 Kalki received a special mention from the jury for her role in the Hindi film Shotgun Shaadi.com (website). Kalki was born Kalki is the sister of French mother Joel Koechlin and a housewife mother Anita mother. She is an artist from the Indian Institute of Technology, Kalki, after a few years ago on the campus of the Indian Institute to which Kalki was raised, the campus by the Indian Military of American football player Kalki is a member of Indian military officers with a few years to attend the Indian Institute of Technology, after he had been awarded a role in the team to help you. Kalki Koechlin and the Indian military with a small role. A small role, and you can help you.
"
William Post,"William Post (September 18, 1945 - 1998) is known to the world as a lottery winner, after he won 16.2 million dollars in the Pennsylvania lottery in 1988. However, his luck in life after the lottery win was terrible and he lost everything in a matter of a few years. Post was born in Baltimore in 1945. When he was five weeks old his father abandoned him and his mother, so she took his mother to live with his grandmother. In 1950, when Will was five years old, his mother married his stepfather, George C. Hart, and they moved to Dundalk, a suburb of Baltimore. William was constantly in conflicts with his new stepfather and soon the friction between the son and stepfather ended, and Will went to live for some time in an institution for mentally retarded people. Post grew up working at various jobs, from a clerk, an insurance agency, a salesman, a chauffeur until January 20, 1980, when it was arrested and charged with sexual abuse of a 14-year old girl. Will was in prison. He escaped from prison two months. In 1987 Post came out of prison and started working as a driver of a taxi. Post managed to get a job as a taxi driver because of his skills. After work, the taxi driver Will Post. After working as a taxi driver he soon lost his job and soon got a loan. So Will had to do to get a taxi driver to lose my job as well. It was not until I got a taxi driver taxi until you can lose your job until the driver your taxi and loss. Lots of people have lost.
"
"William Waldegrave, Baron Waldegrave of North Hill","William Waldegrave, Baron Waldegrave of North Hill, PC (born 11 August 1946) is a British politician who is currently Provost of Eton College. A member of the Conservative Party, for 36 years until 2015 he was a Member of Parliament and a Member of the House of Lords where he is known by the title of his former constituency of re-election. In 1997, he served as the 58th Chancellor of Oxford University, and then became the UK Minister of Agriculture. Educated at the prestigious Eton and Oxford, before becoming a journalist with The Economist. He joined the Conservative research department in 1970 before becoming private secretary to Lord Carrington, the Foreign Secretary, from 1972 to 1973. He served with HM Treasury from 1974 to 1977. He was private secretary and speech writer to Margaret Thatcher from 1979 to 1982, and he was press secretary with the Conservative Party, from 1986 to 1987. He worked at the Treasury again as a minister for international development. He returned to the Conservative research department from 1990 to 1991. He worked for the Treasury as Chief of the Conservative Minister of Industry from 1990 to 1992. Waldegrave worked as the Treasury Secretary Industry, where he worked for the Foreign Office and Commonwealth as a minister for Foreign Secretary of the Treasury of Industry (1972 Foreign Secretary of Industry: William Waldegrave? I am trying to?
"
Darrius Heyward-Bey,"Darrius Heyward-Bey (born February 26, 1985) is an American football wide receiver for the Pittsburgh Steelers of the National Football League. He played college football at Maryland, and was 6th pick by the Oakland Raiders during the 2009 NFL Draft after his junior year. He played his first two seasons in Oakland before being released following the 2013 season. He signed with the Indianapolis Colts in 2014, and his final year with the Colts in 2016.
"
Andrew Shue,"Andrew Shue is an American actor and, under the name Andrew Shue, is also an entrepreneur (born February 21, 1967 in South Orange, Essex County, New Jersey). Shue is the son of Law professor James Shue and Anne Herzig Shue. Andrew married Jennifer Hageney, a doctor and fellow Duke University graduate, in 1994. He has three sisters, Carrie (Mrs. Peter Robbins), Bridget Shue, and Alexis Shue (Mrs. David Gaffen), and a brother, William Shue III. Carrie is a professor of environmental politics.
"
Wahida Prism Khan,"Wahida Prism Khan (Urdu: وحیدہ پریزم خان) [born 25 June 1971 is a Pakistani-born Bangladeshi American neurologist, physician, and journalist. In February 2020, Khan was announced to be running alongside Kamal Hossain for the President of Bangladesh as his running mate in the March 2020 presidential election. She was officially sworn in as Vice President of Bangladesh on 1 January 2021, alongside newly elected President of Bangladesh, AKM Mozammel Kamal.
"
Waka Flocka Flame,"Waka Flocka Flame (born Juaquin James Malphurs) is an American rapper from Queens, New York, United States. He is best known for his many dance releases which have seen the most airplay on the American club circuit. In the summer of 2008, he released ""O Let's Do It"" with Gucci Mane, Pimp C, and Trina. A remix with French Montana and Plies was also released. It was called ""O Let's Do It (Remix)"". Waka's 2008 single, ""No Hands"" has seen him become more popular and well known in the rap scene following his release of the video on his myspace. Waka has since performed throughout the nightclub and mix show circuits and is gaining popularity overseas where he has toured and done a handful of interviews.
"
Focus...,"Focus... is the debut studio album by American hip hop group Slum Village. Under the name Jazzy, the album was released by Neighborhood Recordings in 1993, and featured production from J Dilla, then known as Jay Dee. The album received critical acclaim and moderate attention at the time of its release, but was ultimately lost when the masters for the album were subsequently lost by the label. J Dilla's unfinished vocal tracks were stolen when his home was burgled, and were bootlegged as the Jay Dee Pharmacies, which contributed to the album and its tracks being bootlegged. In 2005, a version of the album was released as Volume 0: Focus of Focus Era of 1990-1994 by Ruff Stuff Records. This is a list of tracks that are on the album Slum Village.
"
Sara Paxton,"Sara Paxton (born April 25, 1988) is an American actress, model, and singer Best known for her roles in Aquamarine (2006) and Sydney White (2007). She was a series regular on the first season of the WB series Summerland. Paxton was born in Woodland Hills, Los Angeles, California. She was introduced to acting at the age of eight and attended The Jewish Center for the Arts in Studio City, California. As a child, Paxton appeared in more than 90 television commercials, including one for Big Red gum. She was cast for an uncredited role in the film Liar Liar, and then a small role in the Eminem video Thank You. Her first television role was as a high school student in an episode from the second season of the medical drama series ER where she shared the screen with Ray Liotta. She got to work with Liotta again the following year in Private Parts, an HBO movie. There, she shared the screen with Joe Mantegna and Paxton's character was loosely based on a young Monica Lewinsky. Paxton was a regular on the first season in Summerland, the WB series. Paxton appeared in the pilot episode of the show on the WB's Summer in 2004, which later was given to the main role in Aquamarine and as Sydney White. In late 2006, Paxton was in another film based on the movie. The film appeared on April 14 Paxton appeared in Aquamarine as Alice Hoooo!!! Alice Amber is born in Aquaman.
"
