question,answer
total number of death row inmates in the us,"['2,718']"
big little lies season 2 how many episodes,['seven']
who sang waiting for a girl like you,['Foreigner']
where do you cross the arctic circle in norway,['Saltfjellet']
who is the main character in green eggs and ham,['Sam-I-am']
do veins carry blood to the heart or away,['to']
who played charlie bucket in the original charlie and the chocolate factory,['Peter Gardner[4] Ostrum']
what is 1 radian in terms of pi,['1/2π']
when does season 5 of bates motel come out,"['February 20, 2017']"
how many episodes are in series 7 game of thrones,['seven']
who is next in line to be the monarch of england,"['Charles, Prince of Wales']"
who is in charge of enforcing the pendleton act of 1883,['United States Civil Service Commission']
what is the name of latest version of android,['Oreo']
why was there so much interest in cuba both before and after the civil war,['sugar markets']
when did veterans day start being called veterans day,"['June 1, 1954']"
when did big air snowboarding become an olympic sport,['2018']
who played in the most world series games,['the New York Yankees']
who sings i can't stop this feeling anymore,['American rock band REO Speedwagon']
who is the month of may named after,['the Greek Goddess Maia']
who has the most petroleum in the world,['Venezuela']
who is the sister of for king and country,['Rebecca St. James']
who developed the first periodic table with 8 columns,['Dmitri Mendeleev']
who plays skyler on lab rats elite force,['Paris Berelc']
when is season seven of game of thrones coming out,"['July 16, 2017']"
who went home on rupaul's drag race season 10 episode 4,['Dusty Ray Bottoms']
when did nigeria become a federation of 19 states,['1976']
when did roller derby first appear in the press,['1922']
what nba team has the highest winning percentage,['San Antonio Spurs']
if there is a random change in the genetics of a small population it is termed,['genetic drift']
who played vincent in nanny mcphee and the big bang,['Oscar Steer']
who played the eldest daughter in the sound of music,['Charmian Carr']
who plays andy's teacher in parks and rec,['Danielle Bisutti']
in which channel fifa world cup will be broadcasted,['NBC']
what is a large body of water that flows through land,['River']
who played all the carly's on general hospital,['Jennifer Bransford']
an object that has mass and occupies space is known as,['matter']
who sang the original blinded by the light,['Bruce Springsteen']
who is the yellow rose of texas named after,['Emily D. West']
who sings the song i can see clearly now the rain is gone,['Johnny Nash']
who was the rfc editor until 1998 just provide the family name,['Postel']
what is the number 1 sport in the usa,['American football']
when was the flight of the bumblebee written,['in 1899–1900']
who plays cullen bohannon in hell on wheels,['Anson Adams Mount IV']
when does the new pokemon movie come out,"['July\xa015,\xa02017']"
how many oar athletes are in the olympics,['168']
where is the honda classic played this year,"['Palm Beach Gardens, Florida']"
who won the nrl grand final in 2015,['North Queensland Cowboys']
where was charlie and the choclate factory filmed,['Pinewood Studios in England']
who owns the rights to the song happy birthday,['Warner/Chappell Music']
who sang the song every breath you take,['The Police']
when did the british hand-over sovereignty of hong kong back to china,['1 July 1997']
the first life forms to appear on earth were,['putative fossilized microorganisms']
who played the robot on lost in space 2018,['Brian Steele']
who came up with britain's got talent,['Simon Cowell']
what year did my pet monster come out,['1986']
who made the beavis and butthead theme song,['Mike Judge']
who has won the 2017 womens singles wimbledon tennis tournament,['Garbiñe Muguruza']
when was the wheel first used in egypt,['4th Dynasty']
which type of organism produces food in an ecosystem,['autotrophs']
who wrote the song for once in my life,['Orlando Murden']
who sang i could not ask for more first,['Edwin McCain']
who is the singer of waiting for love,['Simon Aldred']
who recorded it's a man's world,['James Brown']
when does season 14 of grey's anatomy come out,"['September 28, 2017']"
