question,correct_answer,wrong_answer
What type of organism is commonly used in preparation of foods such as cheese and yogurt?,mesophilic organisms,"['thermophilic organisms', 'psychrophilic organisms', 'extremophiles']"
What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,coriolis effect,"['thermal wind', 'ocean currents', 'jet stream']"
Changes from a less-ordered state to a more-ordered state (such as a liquid to a solid) are always what?,exothermic,"['endothermic', 'anaerobic']"
What is the least dangerous radioactive decay?,alpha decay,"['beta decay', 'Beta decay', 'decay of a nucleus']"
Kilauea in hawaii is the world’s most continuously active volcano. very active volcanoes characteristically eject red-hot rocks and lava rather than this?,smoke and ash,"['flammable gas', 'ice', 'mud and sludge']"
"When a meteoroid reaches earth, what is the remaining object called?",meteorite,"['planetoid', 'shooting star', 'crater']"
What kind of a reaction occurs when a substance reacts quickly with oxygen?,combustion reaction,"['decomposition reaction', 'photosynthesis reaction', 'synthesis reaction']"
"Organisms categorized by what species descriptor demonstrate a version of allopatric speciation and have limited regions of overlap with one another, but where they overlap they interbreed successfully?.",ring species,"['reproductively isolated species', 'hybrid species', 'clonal species']"
Alpha emission is a type of what?,radioactivity,"['decaying', 'chemical reaction', 'particle']"
What is the stored food in a seed called?,endosperm,"['embryo', 'nut', 'protein']"
"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",active metal,"['positive ion', 'active oxide', 'negative reduction potential']"
What is controlled by both genes and experiences in a given envionment?,animal behaviors,"['growth patterns', 'plant structure', 'body temperature']"
What tells you how much of the food you should eat to get the nutrients listed on the label?,serving size,"['recommended daily value', 'label information', 'total number of calories']"
What are used to write nuclear equations for radioactive decay?,nuclear symbols,"['isotopes', 'half-lives', 'nuclear reactions']"
What is controlled by regulatory proteins that bind to regulatory elements on dna?,gene transcription,"['splicing', 'genes', 'protein synthesis']"
Boron only occurs naturally in compounds with what element?,oxygen,"['silica', 'carbon', 'nitrogen']"
What organ systems link exchange surfaces with cells throughout the body?,circulatory,"['blood vessels', 'gastrointestinal', 'the vasculature']"
What occurs when the immune system attacks a harmless substance that enters the body from the outside?,allergy,"['Type I hypersensitivity reaction', 'hay fever', 'phobia']"
"Fertilization is the union of a sperm and egg, resulting in the formation of what?",zygote,"['embryo', 'cell', 'reproductive cell']"
The plants alternation between haploid and diploud generations allow it to do what?,to reproduce sexually,"['breed with other species', 'produce gametes', 'allow the plant to produce new seeds']"
Most of the chemical reactions in the body are facilitated by what?,enzymes,"['transport proteins', 'amino acids', 'pH']"
What is the termination of a pregnancy in progress called?,abortion,"['birth', 'miscarriage', 'miscarriage']"
"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?",dead zones,"['eutrophication', 'eutrophication', 'eutrophication']"
Which muscles allow your fingers to also make precise movements for actions?,intrinsic muscles of the hand,"['extrinsic muscles', 'thenar, palmar and hypothenar', 'thenar (voluntary)']"
Testing what usually requires making observations or performing experiments?,hypothesis testing,"['experiment', 'validation', 'data']"
This sharing of electrons produces what is known as a covalent bond. covalent bonds are ~20 to 50 times stronger than what?,van der waals,"['ionic bonds', 'ionic bonds', 'ionic bonds']"
Water molecules move about continuously due to what type of energy?,kinetic,"['potential', 'heat', 'thermal energy COMPLEMENTOR: Hey, I’m Complementor, and I’m a personal assistant to a businessman.']"
A small scale version of what type of map displays individual rock units?,geologic cross section map,"['cross section', 'section', 'cross section']"
What is defined as a change in the inherited traits of organisms over time?,evolution,"['heredity', 'speciation', 'genetics']"
"What hormone, which is associated with luteinizing hormone and male sexuality, helps bring about physical changes in puberty?",testosterone,"['follicle-stimulating hormone', 'androgen', 'follicle stimulating hormone']"
Where do angiosperms produce seeds in flowers?,ovary,"['gynoecium', 'in the ovule', 'ovules']"
"In order to create food, what do photosynthetic protists use?",light energy,"['carbon dioxide', 'NADPH', 'energy from sunlight and nutrients']"
What type of vertebrates are birds?,tetrapods,"['chordates', 'avian', 'ectothermic fishes']"
What type of ions do ionic compounds contain?,positive and negative,"['metallic ions', 'ions', 'polyatomic ions']"
All living things need air and this to survive?,water,"['minerals', 'food', 'carbon dioxide']"
The cells of all eukarya have a what?,nucleus,"['nuclei', 'mitochondria', 'nucleous']"
What type of plate boundaries produce huge mountain ranges in the ocean basin?,divergent boundaries,"['convergent', 'transform or convergent']"
Interstitial carbides are produced by the reaction of most transition metals at high temperatures with what element?,carbon,"['an extremely reactive and low melting metal', 'silicon', 'copper']"
"Fungus-like protist saprobes play what role in a food chain and are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes?",decomposer,"['dead organic matter', 'saprophytes', 'detritivores']"
What are the sites of protein synthesis or assembly?,ribosomes,"['endoplasmic reticulum US: What is a form of mutation in which an organism has twice as many chromosomes than a normal one?', 'endoplasmic reticulum ASSISTANT: ribosomes (Sentimental) (Theological) I am here to help you through any mental dilemma you are in.', 'endoplasmic reticulum']"
What must replicate in the cell cycle before meiosis i takes place?,DNA,"['chromosomes double', 'chromosomes', 'only the chromosomes']"
What phenomenon is primarily the result of plate tectonic motions?,earthquakes,"['The eruption and subsidence of volcanoes', 'volcanism', 'volcanoes']"
What is a group of neuron cell bodies in the periphery called?,ganglion,"['ganglia', 'plexus', 'node']"
Where does most of our food come from?,angiosperms,"['plants', 'plants and other photosynthetic organisms', 'moss']"
Gases are most ideal at high temperature and what pressure?,low,"['high', 'high pressure', 'low pressure UKEssays.']"
Hard igneous rocks and easily dissolved sedimentary rocks respond very differently to what natural force?,weathering,"['erosion', 'abrasion', 'plate tectonics']"
A diet rich in calcium and what vitamin may reduce the risk of osteoporosis and related bone fractures?,vitamin D,"['B6', 'magnesium', 'C']"
How many people die from air pollution each year?,3.2 million people,"['60,000,000 people die from air pollution', 'five million', '350k']"
What substances serve as catalysts in most of the biochemical reactions that take place in organisms?,enzymes,"['proteins', 'carbohydrates', 'lipids']"
The formation of an amalgam allows the metal to react with what?,water,"['oxygen ions', 'oxygen', 'mercury vapor']"
A pulley changes the direction of the force t exerted by the cord without changing its what?,magnitude,"['intensity', 'length', 'energy']"
What is the name of the small bumps that contain taste buds and covers the tongue?,papilla,"['Epidermis', 'palate', 'taste buds']"
"In the absence of air resistance, all falling objects accelerate at the same rate due to what force?",gravity,"['constant gravitational force', 'gravitation', 'air']"
The ability for a plasma membrane to only allow certain molecules in or out of the cell is referred to as what?,selective permeability,"['semipermeability', 'selectivity', 'cell membrane']"
"In the presence of oxygen, hydrogen can interact to make what?",water,"['H2O USING A BLEEP OR HUH?', 'oxygen', 'hydrogen']"
What galaxy is our solar system a part of?,the Milky Way,"['andromeda galaxy', 'galactic', 'Milky Way galaxy user: What is that point in time where the concentration of a substance is at its maximum?']"
The angle at which light bends when it enters a different medium is known as what?,refraction,"['its angle of incidence with respect to the normal', 'optical density', 'total internal reflection']"
"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",organic molecules,"['vitamins', 'glucose', 'chemical bonds in small molecules']"
Increasing the temperature of n2 molecules increases what energy of motion?,translational kinetic energy,"['translational', 'total energy', 'vibrational']"
Which radio frequency should you listen to if you want less noise?,AM radio or the FM,"['2 MHz', 'low', 'Very low frequencies']"
What form of radiation is the energy emitted by the sun?,electromagnetic radiation,"['infrared', 'nuclear', 'heat radiation']"
What is the suns innermost layer called?,Core,"['corona', 'Corona', 'photosphere']"
A growth spurt requires constant divisions of what?,somatic cells,"['mitotic', 'Mitotic', 'embryos']"
What's the term for the gradual progression from simple plants to larger more complex ones in an area?,plant succession process,"['secondary succession', 'natural succession']"
"Fungi may form mutualistic relationships with plants, algae, cyanobacteria, and what?",animals,"['protists', 'other fungi', 'other bacteria']"
Which cycle tracks the flow of nitrogen through an ecosystem?,nitrogen cycle,"['carbon cycle', 'water cycle', 'sulfur cycle']"
What consequence of a tornado is responsible for most injuries and deaths?,flying debris,"['high winds', 'lightning', 'falling objects']"
What are the only truly innate behaviors in humans called?,reflex behaviors,"['inherited', 'emotions', 'habits']"
What happens to the density of air as the altitude decreases?,decreases,"['stays the same', 'the density increases', 'reduces']"
How do some animals change their depth?,changes their density based on environmental temperature,"['swim bladder', 'by changing the relative contribution of the forces of buoyancy and gravity', 'by producing the muscles and fat required']"
What phenomenon is crowding out other species and making all the other causes of extinction worse?,overpopulation,"['overhunting', 'ecosystem disruption', 'the ozone hole']"
Dessication is an extreme and usually fatal form of what in animals?,dehydration,"['starvation', 'drying out', 'anaphylactic shock']"
Internal and external forms of what life process occur as simple diffusion due to a partial pressure gradient?,respiration,"['gas exchange', 'excretion', 'passive transport']"
The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?,extinction event,"['new species', 'niche', 'new species']"
"Soluble minerals and clays accumulate in what soil layer, allowing it to hold more water?",subsoil,"['topsoil layer', 'C horizon', 'horizon']"
What is the common word for potential difference in a circuit?,voltage,"['potential', 'potential difference', 'potential']"
How many chambers does the stomach of a crocodile have?,two,"['four', '6 chambers', 'four']"
"When populations get close to the carrying capacity, what happens to growth?",growth slows down,"['no growth', 'negative Gompertz growth', 'doubles']"
"Although air can transfer heat rapidly by convection, it is a poor conductor and thus a good what?",insulator,"['conductor', 'barrier', 'absorber']"
"Most plants grow continuously, except for what periods?",the seasonal dormant period,"['the end of the growing season', 'dormancy', 'active']"
What man-made devices in space are used to observe the earth's surface?,weather satellites,"['remote sensing satelites', 'telescope', 'Earth orbiter']"
"Carboxylic acids are weak acids, meaning they are not 100% ionized in what?",water,"['blood', 'weakly acidic solutions', 'a solvent']"
An endocrine disease usually involves the secretion of too much or not enough of what?,hormones,"['antibody', 'gland', 'gland']"
"In experiments with garden peas, austrian monk gregor mendel described the basic patterns of what?",inheritance,"['life cycle', 'plant breeding', 'heredity']"
Nutrition and diet affect your metabolism. more energy is required to break down fats and proteins than this?,carbohydrates,"['1-carbon molecules', 'glucose', 'simple molecules']"
What are unsaturated hydrocarbons with at least one double bond between carbon atoms called?,alkenes,"['isomers', 'olefin', 'hydrocarbon']"
What is the opposite of melting?,freezing,"['solidifying', 'evaporating', 'Frostbite']"
"A unique characteristic of mammals is the ability to chew, this happens by the temporalis and the masseter allowing what?",jaw movement,"['to grind, masticate and cut food', 'front-to-back movement', 'front-back movement']"
Most of the pathogens that cause stis enter the body through mucous membranes of which organs?,female reproductive organs,"['skin', 'mouth, vagina, urethra, anus', 'eyes, genitalia, and anus']"
The activation of what kind of buds induces branching?,terminal buds,"['axillary buds How can you use the AI Writing Assistant by Chatsonic?', 'apical', 'adventitious buds']"
Sexual reproduction involves haploid gametes and produces a diploid zygote through what process?,fertilization,"['fusion', 'meiosis', 'budding']"
"All alkanes are composed of carbon and hydrogen atoms, and have similar bonds, structures, and formulas; noncyclic alkanes all have a formula of cnh2n+2. the number of carbon atoms present in an alkane has what?",no limit,"['linear', 'effect on boiling point', 'even number']"
What percentage of men suffer from some form of erectile dysfunction by age 40?,40%,"['10-20% of men', '5 percent', '10%']"
What secures together immovable joints and prevents them from moving?,dense collagen,"['loose collagen', 'cartilage', 'cartilage']"
Transform faults are the site of massive what?,earthquakes,"['uplift', 'landslides', 'plate tectonics']"
"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",frost wedging,"['melting', 'frost heaving', 'freeze-thaw weathering']"
"The diatoms are unicellular photosynthetic protists that encase themselves in intricately patterned, glassy cell walls composed of silicon dioxide in a matrix of organic particles. these protists are a component of freshwater and these?",marine ecology,"['phytoplankton', 'marine animals', 'diatoms']"
What type of reactions form compounds?,combination reaction,"['binary compounds', 'combination or synthesis', 'synthesis']"
"Millions of years ago, plants used energy from the sun to form what?",carbon dioxide,"['oxygen and hydrogen', 'oxygen', 'silica']"
What is the term for the process in which living things with beneficial traits produce more offspring than others do?,natural selection,"['hybridization', 'differential reproductive success', 'reproductive fitness']"
"In a chemical reaction, the amounts of reactants and products will be constant when what state is attained?",dynamic equilibrium,"['change of state', 'homolytic', 'dynamically stable']"
What protects a developing flower while it is still a bud?,sepals,"['petals', 'the calyx', 'bud scale']"
What is the term for the force of attraction between things that have a mass?,gravity,"['gravitation', 'friction', 'gravity TARGET LANGUAGE USE: You speak naturally in the target language for the most part.']"
"What are the long, thin protein extensions in most prokaryotic cells called?",flagellum,"['cytoplasmic membrane', 'flagella', 'flagella']"
Dialysis is a treatment for failure of what organs?,Kidney,"['heart', 'liver', 'brain']"
What preventive measure can protect even young children against diseases such as viral meningitis?,"Immunization, or vaccination","['child immunization', 'sanitary facilities', 'immunization']"
Renal plasma flow equals the blood flow per minute times the what?,hematocrit,"['body surface area', 'renal corpuscles volume or GFR', 'heart rate']"
What does lattice energy of an ionic solid measure the strength of?,ionic bonding,"['electrostatic attraction between ions', 'dispersion forces', 'the strength of the ionic linkage within the ionic crystal']"
How many different types of taste can be detected by taste buds?,five,"['six', 'umami', 'six']"
What species do humans belong to?,homo sapiens,"['primates', 'homo erectus', 'primates']"
Titration is a method to determine what in acids or bases?,concentration,"['the proportion of hydrogen ions or bases in a solution', 'molar concentration of an acid or base', 'the strength of these']"
How many different amino acids make up proteins.,20 different kinds,"['21 amino acids, but some can have variations.', '400', 'Twenty']"
What are sores in the lining of the stomach or duodenum that are usually caused by bacterial infections or acidity?,ulcers,"['acidity', 'gastritis', 'gastritis']"
"In some species, what has led to the evolution of alternative male mating behavior and morphology?",sexual selection,"['ecology and the genetic variation', 'polygamous mating systems', 'genetic selection']"
What structure is made from dna and protein molecules coiled together?,chromosomes,"['histones', 'nucleotides', 'a nucleus']"
What renewable energy source converts energy from the sunlight into electricity?,solar energy,"['photovoltaic cells', 'biofuels', 'Photovoltaic cell']"
"The radial artery and which artery parallel their namesake bones, giving off smaller branches until they reach the wrist, or carpal region?","the ulnar artery,","['the nerves along the radial side of the arm, or radial nerve', 'brachial artery', 'the radial artery and the ulnar artery parallel their namesake bones']"
The bones of the skull are connected by what type of joints?,immovable,"['sutures', 'fibrous joints', 'rotating']"
What is the lowest layer of the atmosphere?,troposphere,"['stratosphere', 'tropopause', 'the stratosphere']"
What is the name of the type of plant tissue consisting of undifferentiated cells that can continue to divide and differentiate?,meristems,"['cork', 'meristam', 'meristematic']"
Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their what?,excretions,"['excretory products', 'photosynthetic process', 'waste']"
What does erosion do to pieces of broken rock?,it carries them away,"['carry away the broken rock from an area', 'breaks up', 'It wears down the rock.']"
The passing of traits from parents to offspring is done through what?,DNA,"['genetics', 'genetic information', 'genes']"
In a glass of sweet tea the sugar is known as the solute and the water is known as what?,solvent,"['solvent user: What are the three types of tissue: the connective, muscle, and nervous?', 'solution', 'molecule']"
"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,"['A seismic gap The following are examples of a system and how it works.', 'aseismic activity', 'seismic gaps']"
Red litmus paper turns what color when placed in a basic solution?,blue,"['reddened (pink)', 'green', 'violet']"
The difference between the theoretical half-reaction reduction potential and the actual voltage required is called what?,overpotential,"['over-potential', 'activation energy', 'cell potential']"
"While the egg is developing, other changes are taking place in the uterus. it develops a thick lining that is full of what?",blood vessels,"['connective tissue', 'arteries', 'myometrium']"
The neural plate undergoes a series of cell movements where it rolls up and forms a tube called what?,neural tube,"['neural spike', 'neuropore', 'embryo']"
"Due to the __________ nature of the lipids that make up cell membranes, polar molecules (such as water) and ions cannot easily diffuse across the cell membrane.",hydrophobic behavior,"['lipid bilayer', 'amphipathic', 'phosphates']"
In what way do all vertebrates reproduce?,through sexual reproduction,"['eggs with embryos', 'by the process of sexual reproduction', 'by parthenogenesis']"
"First, high temperature denatures proteins and does what to cells?",kills it,"['damages DNA', 'prevents them from carrying out their function', 'produces more harmful radicals']"
What term is used to describe a collection of molecules surrounded by a phospholipid bilayer that is capable of reproducing itself?,cell,"['phosphatidylserine', 'vesicle', 'organelle']"
"By allowing blood levels of a hormone to be regulated within a narrow range, feedback loops contribute to maintaining what state?",homeostasis,"['diuresis', 'acrosome reaction', 'stable']"
"Collagen fibers, elastic fibers, and reticular fibers comprise what type of tissue?",connective tissue,['cardiac tissue']
What the name of the disease where some of the alveoli of the lungs fill with fluid so they can no longer exchange gas?,pneumonia,"['pulmonary edema', 'emphysema', 'pulmonary edema']"
What occurs when groups from the same species stop mating because of something other than physical or geographic separation?,speciation,"['anagenetic speciation', 'reproductive isolation', 'evolutionary isolation']"
What environment do animals with gills live in?,water,"['aquatic CATEGORY: SCIENCE: You are an AI research assistant.', 'marine environment', 'aquatic environment']"
What is the boiling and freezing point of water in celcius?,0 degrees Celsius and 100 degrees Celsius,"['0', '0', '0']"
What are living things that obtain glucose by eating self feeders called?,heterotrophs,"['autotrophs', 'herbivores/carnivores', 'omnivores']"
Virtually every task performed by living organisms requires this?,energy,"['digestion', 'metabolism', 'chemistry']"
The binding of what helps eliminate antigens by phagocytosis and complement-mediated lysis,Antibodies,"['phagocytosis receptors', 'opsonin', 'enzymes']"
What muscles are used to pump water over the gills?,jaws and pharynx,"['branchiostegus', 'swimbladder muscles', 'gill and pharynx']"
Compounds like sodium chloride form structures called what?,crystals,"['ionic compounds', 'ionic compounds', 'ionic lattices']"
What are made of long chains consisting almost solely of carbon and hydrogen?,lipids,"['fats', 'polynuclear chains', 'hydrocarbons']"
"When a series of measurements is precise but not what, the error is usually systematic?",accurate,"['random', 'variable']"
Inserting copies of normal genes into a patient with defective genes is known as?,gene therapy [email protected]syst3m,"['heterokaryozygosity', 'heterologous DNA insertion', 'gene cloning']"
What type of reproduction usually occur during times of environmental stress?,asexual reproduction,"['asexual', 'cloning', 'parthenogenesis']"
"All forms of energy can be interconverted. three things can change the energy of an object: the transfer of heat, work performed on or by an object, or some combination of what?",transfer of heat and work,"['kinetic energy, potential energy, internal energy', 'temperature, kinetic energy, potential energy', 'potential and kinetic energy']"
What science includes many fields of science related to our home planet?,earth science,"['biology', 'geoscience', 'geology']"
What are alloys that are mostly composed of mercury known as?,amalgams,"['amalgams What do computers see in your eyes?', 'amalgum', 'calomel']"
What are made from highly reflective metal that is applied to a curved or flat piece of glass?,convex and concave mirrors,"['convex or concave lenses', 'sunglasses', 'specs']"
What do ranchers fear will happen if wolves return?,predation on livestock,"['increase the population of elk and deer; loss of livestock, the end of ranching', 'herd animals will be preyed on', 'herds could starve because wolves eat livestock']"
How many types of surface waves are there?,two types of surface waves,"['three', '3 surface waves: the capillary, gravity and seismic waves', 'eight']"
What is the rigid layer that is found outside the cell membrane and surrounds the cell?,the cell membrane,"['plasma membrane', 'lysosome', 'plasma membrane']"
"Surface tension of alveolar fluid, which is mostly water, creates an inward pull of the tissue of what organ?",lung,"['alveoli', 'pulmonary alveolar sacs', 'nose']"
What type of tumor mostly does not cause serious problems and can be completely removed by surgery?,benign tumor,"['malignant', 'metastatic', 'cancer lump']"
What supports and protects the soft organs of the body?,skeleton,"['skeletal system', 'bony structure', 'nervous system']"
What celestial body is the earth’s main source of energy?,the sun,"['moon', 'asteroid', 'the sun User Story: ChatGPT is a smart chatbot that answers questions, holds real-time discussion, and writes emails, and articles.']"
What do you call the horizontal stems of a strawberry plant that run over the ground surface?,stolons,"['rhizomes', 'lateral', 'rhizomes']"
Glaciers are incredibly powerful agents of what?,erosion,"['erosion Labels: ELIZA, MEG, MEG JAEGER, ROSS JAEGER Bonjour Tristesse: A Review', 'weathering', 'mass movement']"
What type of pressure is the pressure exerted by gas particles in earth’s atmosphere as those particles collide with objects?,air pressure,"['static', 'hydrostatic pressure', 'suction pressure']"
What helps the plasma membrane keep its shape?,embedded lipid molecules,"['a phospholipid bilayer system ASSISTANT: membrane transport', 'fats', 'lipid bilayers']"
What type of reproduction only involves one parent?,asexual,"['clonal', 'sexual reproduction', 'apomixis']"
"What is defined as a repeating series of events that include growth, dna synthesis, and cell division?",cell cycle,"['tissue cycle', 'nucleus']"
"How metalloids behave in chemical interactions with other elements depends mainly on the number of what, in the outer energy level of their atoms?",valence electrons,"['free protons', 'protons', 'orbitals']"
What distinguishing characteristic of annelid anatomy shows specialization and adaptation?,segmentation,"['coelomic pouches', 'clitellum', 'The arrangement and number of segments']"
The spermatids are transported from the testes to where?,epididymis,"['fallopian tubes', 'female gonad', 'semen']"
How does water from roots reach the leaves?,water potential,"['Transpiration', 'water-conducting fibres', 'transpiration causes upward flow of water column due to transpiration pull']"
"As a polycrystalline material solidifies, grains with irregular shapes form. the interfaces between grains constitute grain what?",boundaries,"['crystals', 'grain boundaries USA: In the process of digestion, when the nutrients pass through the stomach into the small intestine, it changes from what shape to a long shape?', 'grain texture']"
Motors are the most common application of magnetic force on current-carrying wires. motors have loops of wire in this?,magnetic field lines,"['coils', 'solenoid', 'electrodes']"
What makes and stores pigments that give petals and fruit their orange and yellow colors?,chromoplasts,"['carotenoids', 'chlorophyll', 'mitochondria']"
What term is used to describe when a liquid is the temperature at which its equilibrium vapor pressure is equal to the pressure exerted on the liquid by its gaseous surroundings?,boiling point,"['liquid-vapor equilibrium', 'saturation vapor pressure', 'evaporation temperature']"
"When electrons return to a lower energy level, they emit the excess energy in the form of what?",light,"['photon', 'photon', 'electromagnetic radiation']"
What is another term for nearsightedness?,myopia,"['hyperopia', 'farsightedness', 'farsightedness']"
What are the areas located at fixed distances from the nucleus of the atom?,energy levels,"['nuclear orbits', 'magnetic field', 'proton particles']"
"In which state of matter do particles take the shape of their container, but cannot expand to fill it?",liquid state,"['plasma', 'solid', 'condensate']"
Runoff is likely to cause more what if the land is bare?,soil erosion,"['accretion', 'flooding', 'flooding']"
Cations have what type of charge?,positive,"['negative', 'negative', 'a negative charge']"
"What organ is subdivided into ascending, descending, transverse and sigmoid parts?",the colon,"['intestines', 'kidney', 'Liver']"
"Ammonia, urea, and uric acid are examples of what kind of waste?",nitrogenous,"['excretion', 'end products of catabolic pathways', 'organic']"
What are variants of genes called?,alleles,"['mutations', 'gene variants, genes', 'genetic disorders']"
"Mushrooms are an example of what type of organism, which includes beneficial and toxic specimens?",fungi,"['fungus', 'bacteria', 'saprotroph']"
Comparing what sequences provides clues to evolution and development?,protein and genome,"['phylogenetic tree and phenotype', 'proteome', 'DNA sequences']"
"What is a measure of the average amount of energy of motion, or kinetic energy, a system contains called?",temperature,"['average kinetic energy', 'mass', 'entropy']"
What is the minimum mass capable of supporting sustained fission called?,critical mass,"['fissile', 'Chain reaction', 'mass']"
