question,answer
Reptiles are described by what term that means their internal temperature depends on the temperature of their environment?,['ectothermic']
How do very massive stars end their lives?,['supernova']
"Circulating the air prevents ethylene from accumulating, and carbon dioxide inhibits synthesis of new what?",['methylthiogalactoside']
How do animals obtain nitrogen?,['by eating plants']
Which system are the brain and spinal cord apart of?,['central']
What is the most abundant metal of the earth's crust?,['silicon']
"Foodborne illness, food allergies, or a food intolerance cause symptoms in what system?",['digestive system']
What are the two types of digestive systems invertebrates may have?,['gastrointestinal system']
"Control of the body can be somatic or autonomic, offering one way to divide what organ system by function?",['somatic and autonomic']
What is required to move or change matter from one state to another?,['energy']
What is the name of the molecule which has one carbon and four hydrogen atoms?,['hydrogen cyanide']
The added nutrients from fertilizer often cause excessive growth of what organism?,['algae']
All the atoms of a given element have the same number what?,['proton number']
What rock group offers the richest source of fossils?,['sedimentary rocks']
What is matter in the universe that does not emit light called?,['dark matter']
"What term, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute?",['left ventricle cardiac output']
Cells that have a nucleus and other organelles which are membrane-bound are generally called what kinds of cells?,['eukaryotic cells']
The bird ancestor that lived in trees developed what feature commonly associated with birds?,['feathers']
"When equal amounts of a strong acid such as hydrochloric acid are mixed with a strong base such as sodium hydroxide, the result is what kind of solution?",['neutralization']
What is another word for cellular drinking?,['osmosis']
Reacting with metal is one thing that distinguishes acids from what?,['bases']
Toxins and poisons are ______ enzyme inhibitos,['active']
"After a supernova, what part of a star remains?",['neutron star or black hole']
There are 20 different common amino acids needed to make what organic compound?,['protein PREVIOUS POST Previous post: How to become a robotics engineer NEXT POST Next post: How to become an art therapist']
What part of the neuron is a large structure with a central nucleus?,['cell body']
What come together to create continents and supercontinents?,['the plate tectonics theory of continental drift']
"Known for its beautiful rings, what is the second largest planet in the solar system?",['Saturn']
What forms when secondary alcohols oxidize?,['peroxide']
What percentage of the field is tilled in traditional plowing?,['100%']
Only after implantation can an embryo develop into a what?,['a fetus']
Telomerase is typically active in germ cells and adult what?,['tissue']
"What system enters the brain stem and influences activity in the cerebellum, spinal cord, and cerebral cortex?",['ascending spinothalamic tract']
"While ecosystems need a constant input of energy for their organisms, what do ecosystems recycle?",['organic material']
Honeybees doing the waggle dance or spiders spinning a web are examples of what type of behavior?,['symbolic behavior']
"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",['abiotic factors']
What are the little sacs at the end of the bronchioles called?,['alveolus']
"Monosaccharides, disaccharides, and polysaccharides are types of what kind of macromolecule?",['carbohydrates']
Aspirin and ibuprofen reduce pain by inhibiting the synthesis of what?,['prosthetic syntheses. ’s turn! Ask an Assistant a Question. ASSISTANT: Do you use a tone that is techie and serious?']
"Proteins are categorized according to shape and what property, which correlates with it?",['intramolecular polarity']
How many chambers are there in a bird's heart?,['two']
What soil is common in deciduous forests?,['black soil']
"Connecting a magnesium rod to an underground steel pipeline protects the pipeline from corrosion. because magnesium (e° = −2.37 v) is much more easily oxidized than iron (e° = −0.45 v), the mg rod acts as the anode in a what?",['electrolytic cell']
What is the outer layer of the exoskeleton called?,['epidermis']
What type of lens is thicker at the edges than it is in the middle?,"['convex lens You may use as many questions as you want. I\'ll stop at any time. I only want the right answer, like don\'t answer ""roots"" as ""tissues"", just that ""tissues""']"
Water can be broken down into hydrogen and oxygen gases by the addition of what?,['hydroxide ion']
"A rock that contains important minerals is called what, a term associated with mining?",['ore']
Which planet is named after the roman goddess of love?,['Venus']
"In multicellular organisms, essential biological functions are carried out by what?",['cell']
"What cycle occurs in women of reproductive age, as a long as a sperm does not enter an egg?",['menstrual cycle']
What are plants that are adapted to very dry environments called?,['xerophytes']
What opens two strands of dna?,['helicase']
What happens to water when it freezes?,['becomes solid']
Icy objects that have very elliptical orbits around the sun are called?,['meteoroids']
What adaptation helps prey hide and predators sneak up on prey?,['camouflage']
What system does addictive drugs affect?,['central']
How are the fetuses of eutherian mammals connected to their mothers during gestation?,['placenta']
"What is the most abundant of all vertebrate classes, and the most recent to evolve?",['invertebrates']
"With wavelengths from 400-700 nm, what kind of light represents only a very small portion of the spectrum?",['visible light']
What phase does the cell make final preparations to divide?,['G1 phase']
Hypersection by an endocrine gland is often caused by what?,['a tumor in the hyperplasia']
What is the phenotypic range of a particular genotype called?,['gene frequency']
