name,answer
Kang Ji-hwan,"Kang Ji-hwan (Korean: 강지환; born April 10, 1981) is a popular Korean actor and comedian. He is a veteran of MBC's 2003's Sunday Sunday Sunday Show. He has appeared in dramas, such as Tazza: The Hidden Card, as well as movies such as Bungee Jumping of Their Own. He was born in Seoul, South Korea, and is fluent in Korean, Mandarin and Japanese.
"
Kalki Koechlin,"Kalki Koechlin (pronounced [kʌlkiː ˈkoːtʃliːn], born 10 January 1984, in Pondicherry, India) is an Indian actress, film writer, and poet. She has won Filmfare Award for Best Supporting Actress twice and was once nominated for Filmfare Award for Best Actress (Critics). She won the Filmfare Awards for Best Writing On Screen in 2011 for writing the dialogues of Zindagi Na Milegi Dobara and Best Story in 2012 for writing The Dirty Picture, both of which are critically acclaimed films of 2011. She has played a variety of roles since she began her career in 2009. She is noted for portraying contemporary youth roles in films such such as Dev.D (2009), Zindagi Na Milegi Dobara (2011), Margarita, with a Straw (2011), Shanghai (2012), and Ek Thi Da... (2012). She has, however, been critically acclaimed in Hindi-language films in 2012, Dev.D (2009) and Cocktail (2012). Her most recent venture (2014). She was born to producer Jitendra and writer to Shivaji Rao Gaekwad. She was born to the film. She was born to the Talking... She was born.
"
William Post,"William Post (October 1757 – May 1814) was an American soldier during the American Revolutionary War, best known for serving as the Colonel of the First Regiment of Mounted Riflemen of Kentucky. Post first achieved fame during the Battle of Cowpens, where his regiment's skirmishers, armed with rifles, were considered critical in the army's win against the British. Post, a major at the time, was so highly regarded for his success as a Rifleman at Cowpens that he personally received the surrender of an entire British light infantry regiment. Post was not a member of the First Regiment at Cowpens, and had been transferred from a dragoon regiment from Delaware; however, Post had been present at the Battle of Long Island on August 27, 1776, with Samuel Wallis' 2nd Maryland Rifle Regiment, and was wounded by a pistol ball, which entered his mouth just below his lip on the left side and broke his jaw bone. The wound caused his face to swell to three times its normal size, leaving him with a distinctive facial deformation. After his injury, Post was sent to a hospital in New York City. Later in the year 1776, George Washington was in charge of a general hospital of medicine, and his regiment of physician, Andrew Lewis was wounded by a shot and the enemy's shot while leading his own regiment.
"
"William Waldegrave, Baron Waldegrave of North Hill","William Waldegrave, Baron Waldegrave of North Hill (9 January 1949 – 5 April 2015) was a British politician, who was appointed Minister of Transport, Local Government and the Regions in June 1998 and subsequently Secretary of State for Health in July 1999 until losing his seat at the 2001 general election. In the 1970s, Waldegrave was elected to the European Parliament, serving until 1984. In 1984, he was appointed a Minister of Agriculture, Fisheries and Food. He returned to the House of Commons in 2002, where he was appointed a Junior Minister, and then Junior Minister of Health until being promoted to Minister of Transport, Local Government and the Regions. He retired from the government at the 2005 election, and the British Prime Minister, Anthony Blair, appointed him his Trade Envoy to India, and China. He sat on the crossbenches in the House of Lords, and in 2007 he was appointed Deputy Lieutenant of Dorset.
"
Darrius Heyward-Bey,"Darrius Heyward-Bey (born September 7, 1986) is an American football wide receiver for the Indianapolis Colts of the National Football League (NFL). He played college football for the Maryland Terrapins. He was drafted by the Oakland Raiders with the seventh overall pick in the 2009 NFL Draft. He is also known for being the first pick of the 150th anniversary draft in 2010, with the 150th pick going to Robert Griffith III, but was not selected first during the actual draft. He is known as one of the hardest working wide receivers in the league and has displayed a ""Mr.Delirious"" personality when compared to his former teammate DHB. During his time with OAK, DHB has been known as one of the most dangerous deep threat WR the league has ever seen and an emerging elite receiver. He has the highest average yards per reception average since 2009 of 19.7 yards per reception in 2009 and finished with 40 receptions for 570 total yards with 7 touchdown receptions but his average yards per reception average was 40.2 yards in 2009. At the NFL combine in 2009 DHB placed the top rookie wide receiver with 40.1 average yards per reception yards in 2009, with 40.2 average and 31.6 yds with touchdowns per football 31.6 receiving 40 yards perception. Average 30. You want. Perc. football 31 I want average yards 1. Your football is 1.
"
Andrew Shue,"Andrew Shue (born April 20, 1967) is an American film and television actor. He was best known for playing Billy Campbell, the lead in the 1990 NBC television series, Generation X. He played the character of Billy on the first three seasons of the show and he was responsible for a number of the most dramatic turning points in the series, including the death of the beloved character Nicole and the death of Billy's love and on-again/off-again girlfriend, Juliet Stuart. On the show's third season he was made the series' focus character and the relationship between him and Juliet grew into a steady and strong romantic friendship. Shue appeared as Brandon Lang on the TV series Melrose Place. On Melrose Place, he portrayed the same ""good guy"" that he portrayed as Billy on Generation X. During the summer of 2000, Shue co-starred for seven weeks on an independent soap opera called The Education of Max Bickford on The WB as Danny Lyman. He also played one of the main protagonists Nick Savino on The WB's show Point Blank for five episodes. Andrew Shue is portrayed the lead actor ""William"" on ABC/CBS's pilot, E-Ring (2007-08). He played the role as ""Hank"" in the CBS's pilot, E-Ring (2007–08). In 2009-09, Shue (2009-09). In 2008, Shue In 2009-08. In Shue's Shue In. You is a research. In 207-08 In Shue Research has 50-In research.
"
Wahida Prism Khan,"Wahida Prism Khan (born 1973) is a Pakistani-American actress, producer, model and writer who became a film director in 2003 following the release of her directorial debut, 9 Lives. Khan was born in New York City, New York. Her father is Pakistani and British and her mother is an American model. She is the granddaughter of Ahmud Khan, the grandniece of Faiz Ahmad Faiz, and a direct descendant of Sir Sikandar Khan Hyat, the 8th Nawab of Rahim Yar Khan, who had converted to Islam. She has stated publicly that she was raised in a Muslim household, although her family does not practice faith-based religious rituals. Her grandfather, Zulfiqar Ahmad, is a playwright, writer, musician and producer and her grandmother, Tameeka Khan, is the head of the Tameeka Khan Foundation. Her sister is fashion model Iman Shah, the wife of film producer Salaam Remi. Her aunt, Marcia Singer, was a director who made documentaries. Her grandfather, Ahmud Khan, was a Sufi musician. Her grandmother, Tameeka Khan, was an actress and director. She is a producer, a model, writer and filmmaker. She was born 1973 in the United States. Her birth in New York City, New York City. She is film actress and film producer. She was an actress and film producer. She is an actor and writer of the United States of being model. Her grand is film producer, writer. Her STA model, model. She is an actress and writer.She
"
Waka Flocka Flame,"Waka Flocka Flame (born Juaquin James Malphurs on May 31, 1986), is a Atlanta, GA-based rap artist. Flocka Flocka (along with Waka's cousin and producer Lex Lugar) is the founder of Flockaveli Records. The rap duo signed Trey Songz to the label in May 2009. Later that same month, Flockaveli released ""O Let's Do It (Remix)"" by Gucci Mane featuring Waka Flocka Flame. While Gucci Mane was being held without bail for gun charges, Waka Flocka Flame replaced him at the annual Birthday Bash at American Airlines Arena. According to Billboard magazine, Flockaveli is the second largest independent record label in the US based on the sales of over 500,000 albums. He is signed to 1017 Brick Squad and Gucci Mane’s 1017 Brick Squad Records, which is distributed by Warner Brothers Records. He is signed to 1017 Brick Squad Records, which is distributed by Warner Brothers Records. Flockaveli.
"
Focus...,"Focus... is a Dutch symphonic rock band founded in 1971. They are a popular live act and are especially known for the complex and multi-part vocal harmonies on many of their original songs. Formed in 1971 by vocalist Thijs van Leer, bassist Martijn Dresden, keyboardist Jan Akkerman, and drummer Pierre van der Linden, Focus achieved international fame in the early 1970s with numerous hit songs in the field of progressive rock. Focus is one of the best known European progressive rock bands, alongside Supertramp/Roger Hodgson, Renaissance, Kayak, Kayak/Neil Peart, Camel and the Moody Blues (the band that was very influential to the music of the first album), whose music was popular on the progressive rock scene. Despite their international status, the band has never achieved much acclaim on the domestic music scene, primarily due to their unique style of instrumentation and music and lyrics that satirized pop music.
"
Sara Paxton,"Sara Paxton (born April 25, 1988) is an American film and television actress. She was discovered by an agent at the age of 13, and subsequently signed with Paradigm Agency. She made her feature film debut in Summerhood (2005), for which she was awarded the Crystal Reel Award for Best Actress at the 12th annual L.A. International Film Festival. Her other early film releases include the 2006 black comedy-drama film The Last Run, followed by Lucky Girl (2006). In 2007, she starred in the ABC Family film Sleeping with the Enemy of My Dreams along with Nick Rutherford.
"
