question,answer
how many countries does cadbury sell its products,['Over 200']
who are considered to be the founding fathers,['George Washington ASSISTANT: Thomas Jefferson ASSISTANT: John Adams']
where does route 66 start on the west coast,"['Seligman, AZ']"
who wrote he ain't heavy he's my brother lyrics,['The Hollies']
when does the regular season start in mlb,['First of April 2012']
where is the largest salt mine in the us,"['Hutchinson Salt Mine, Hutchinson, KS']"
who wrote the song stop the world and let me off,['Harry Warren and Al Dubin']
when did martial law in the philippines end,"['December 16, 1986']"
nitty gritty dirt band fishin in the dark album,['The Land Down Under']
animals that are active at dawn and dusk,['Nocturnal']
what is the collection of the districts to the east of the jordan river,['Southern Samaria']
who are the two teams in super bowl 2018,['Philadelphia Eagles']
jharkhand which festival is associated with cattle worship,['Bakrid']
who sings the song i want to go outside in the rain,['Celine Dion']
when was the last easter fell on april 1,['2012']
who plays max voice in a goofy movie,['Josh Peck']
when were the beatles inducted into the rock and roll hall of fame,['1/15/1988']
when did the first ice age come out,"['March 17, 2002']"
what are the 5 boroughs of new york city,"['Manhattan, Kings, Queens, the Bronx & Brooklyn']"
when did the nba add the three point line,['1979–80']
what is the current mac os operating system,['macOS Catalina (10.15)']
an influential religion to enter china along the silk route during the han dynasty was,['buddhism']
who is the original singer of i write sins not tragedies,['Brendon Urie']
band who had a hit with heart and soul crossword,['D.C. Fontana']
who were the judges on dancing on ice 2014,"['Robin Cousins, Ashley Banjo, Karen Barber']"
who decides where the super bowl is played,['NFL Commissioner']
who sings the song you'll never find another love like mine,['Jennifer Rush']
where did students for a democratic society start,['1601 Connecticut Avenue NW']
when does season 8 of hawaii five o premiere,"['August 3, 2018']"
when was the last time michigan won the championship,['2002']
who developed the concept of total quality management,['Dr. W. Edwards Deming ASSISTANT: “Total Quality Control: American Version” (1962)']
when did the angel of the north get built,['1998']
which mode is used for short wave broadcast service,['AM']
who played skeletor in the movie masters of the universe,['Frank Langella']
which domain of life are humans members of,['Eukaryota']
where does the phrase train of thought come from,['The phrase was coined by philosopher Ludwig Wittgenstein']
when did the dallas cowboys win their last playoff game,"['January 7, 2007']"
total goals scored by ronaldo in la liga,['219']
who played gareth in four weddings and a funeral,['Hugh Grant']
who came up with popcorn at the movies,['Charles Cretors']
what is an example of an americanized mexican food created by tex-mex cuisine,['nachos']
who sang let me tell you about the birds and the bees,['Loreena']
the witch and the hundred knight 2 us release,['The Witch and The Hundred Knight 2']
who started the guinness book of world records,['Norris and Ross McWhirter']
where is the 7th game of the world series played,['7th game is only played if there is a 7th game']
who wrote the song i hate you i love you,['Juliet Turner']
in the song i drive your truck who is he talking about,['his dead wife']
how long have we been celebrating pi day,['Since 1988']
who wrote the song going to kansas city,"['Jerry Leiber, Buddy Kansas and Mike Stoller']"
delhi is on the banks of which river,['Yamuna river']
what parts make up the peripheral nervous system,"['Dorsal Root, Ventral Root, Dorsal Root Ganglia, Sensory Ganglia, Sciatic, Obturator and Lumbar Ganglia, and Lateral and Corda equina']"
malcom in the middle season 1 episode 3,['Truth or Consequences']
where is the country music hall of fame located,"['Nashville, Tennessee, United States']"
if a piece of music is perceived to have changed key then we say the piece has,['modulated']
nobel laureate who began career as accountant in calcutta,['Satyajit Ray']
when did krakow become the capital of poland,['The capital of Poland is the old royal capital of Krakow which was moved to Warsaw in the 1600′s.']
how long were the pyramids the tallest structure,['c. 4000 years']
who came first second and third on the grand national,"['Tiger Roll won for the second year in a row, followed by Magic of Light. Elegant Escape was third.']"
where is geothermal energy used the most in the us,['The greatest use of geothermal energy is California']
who had the best strike rate among batsmen who scored over 200 runs in the world cup,['Virat Kohli']
when did one child policy end in china,['2015']
who sings the whiskey ain't workin anymore,['Alan Jackson']
what is the origin of the name marvin,"['English, Meaning “Friend of the sea”']"
criminal minds episode where jj becomes a profiler,['“The Big Wheel” (6x01)']
who formed the indian society of oriental art,['Nandalal Bose']
what is the real name of our sun,['The sun']
who played the detective in little boy blue,['Rupert Penry-Jones']
when did the first ninja turtles come out,"['March 28, 1987 13. SINCE: You will be creating a chatbot from the beginning. You need to choose where to buy it.']"
how many goals did mikel score for chelsea,['29']
where is this years army navy game played,['Philadelphia']
what are the top five wine producing states,"['California, Washington, Oregon, New York, and Illinois']"
what is the biggest determinant of climate in venezuela,['Location and temperature.']
who win road march in trinidad and tobago,['Machel Montano']
when did drop it like it's hot release,"['30, August 2004']"
who is the first president to be impeached,['Andrew Johnson']
who scored the most points in a game nba history,['Wilt Chamberlain']
when was the last year the eagles went to the superbowl,"['January 21, 2005']"
what are the zords in the power rangers movie,['Zords are the giant humanoid robots that combine into the Megazord']
who sings it's my party and i cry if i want to,['Lesley Gore']
where does the synthesis of new dna from existing dna occurs,['mitosis']
who was the first baseball player to be featured on a postage stamp,['George Sisler (This user got help from another user.) [User 1]']
what was going on in the world in 1900,['New world technologies. Tesla Motors formed.']
what does g stand for in ncis los angeles,['Naval Criminal Investigative Service']
what is billy last name in where the red fern grows,['Willette']
where does the sciatic nerve run in the foot,"['The sciatic nerve runs from the sacrum of the spine, down the back and into the leg. It gives strength and feeling to the legs, and the pain of Sciatica is typically felt in the foot.']"
who was the aztec ruler when the spanish arrived,['Moctezuma II (or Montezuma or Moteuczoma)']
who was in dont worry be happy video,['Herb Alpert and the Tijuana Brass']
who owns the golden nugget casino in atlantic city,"['Jeffery S Gural, a Manhattan real-estate developer']"
when was i look at the world poem written,['1956']
who won the oscar for best actor in 1975,['Peter Finch']
where does creatine come from in the body,['It is biosynthesized in liver and kidney']
when did the movie peter pan come out,"['February 5, 1953']"
the most important battles in the revolutionary war,"['Saratoga, Trenton, Yorktown']"
who has become the new chairman of sebi,['N.S. Venkatesh']
when was the last time.michigan beat ohio state,['2011']
when does closure of the ductus arteriosus occur,['6 months']
what is the center of heredity in a cell,['DNA']
who wrote the music phantom of the opera,['Andrew Lloyd Webber']
when was the last time iran had an earthquake,['2 November']
how many ceos of fortune 500 companies are female,['4.8%']
how many books are in the one piece series,['90 as of June 2019']
what do you call a person who officiates a wedding,['Celebrant']
an edge that is between a vertex and itself is a,['degenerate edge']
who plays artemisia in 300 rise of an empire,['Eva Green']
what is the dogs name in wizard of oz,['Toto']
two examples where low voltage transformers are used,['1) street lighting systems 2) traffic signal systems']
leader of carthage in the first punic war,['Hannibal']
who sings love me tender in princess diaries 2,['Frankie Poultney']
where is the oldest civilization known to man,['Mesopotamia']
what happened at the 1939 worlds fair in regards to television,['TV broadcast from the World’s Fair']
who discovered that neural communication between cells occurs through chemicals,['Santiago Ramón y Cajal']
isdn uses b & d channels. what is d channel use for,['The D channel (B channel) provides 64kpbs duplex digital service']
what is the meaning of cc and bcc,['CC means carbon copy and BCC means Blind carbon copy']
when is the fa cup semi-finals being played,['3rd March 2018']
who sings the theme song for the tv show cops,['Who Let The Dogs Out” by Baha Men']
when was the wheel introduced to north america,['Before 90BC']
who is the actor that plays ducky on ncis,['Margo Harshman']
where do pineapples come from in the world,['Hawaii']
what channel is celebrity big brother on in the usa,['Celebrity Big Brother US airs on CBS']
what is the point of a menstrual cup,"['It is designed to collect fluid, while a woman is menstruating, instead of using tampons']"
what is a another name for the water cycle,['Water Cycle']
most passing yards by nfl qb in a game,"['Drew Brees, New Orleans Saints, October 7th, 2011, vs. Indianapolis Colts, 512 yards']"
how many hoops are used in a game of croquet,['six']
when was the first australian prime minister elected,"['November 12, 1901']"
what album is sacrifice by elton john on,['A sacrifice cannot be found on this record']
who won the men's single title of australia open on 1 february 2015,['Novak Djokovic']
the tenure of the office of the lokayukt of up,['3 years']
disagreements involving slavery and states' rights were two of the main causes of,['The Civil War']
when did the usa join world war one,['April 6 1917']
who played the girl in silence of the lambs,['Jodie Foster']
who coined the phrase let get ready to rumble,['Michael Buffer']
how did leo dalton die in silent witness,['Silent Witness character information']
the vast interior rural area of australia is known as the,['Outback']
who said the poison is in the dose,['Paracelsus']
computer based models of real life situation are called,['Simulation.']
fast & furious 8 release date in india,"['April 17, 2018']"
where did the term liberal arts come from,"['the phrase ""liberal arts"" dates back to the middle ages in europe, where grammar, logic, rhetoric, geometry, arithmetic, music and astronomy were collectively called ""the seven liberal arts""']"
