question,answer
Which American-born Sinclair won the Nobel Prize for Literature in 1930?,['(Harry) Sinclair Lewis']
Where in England was Dame Judi Dench born?,['Park Grove (1895)']
In which decade did Billboard magazine first publish and American hit chart?,"[""30's""]"
From which country did Angola achieve independence in 1975?,['Portogało']
Which city does David Soul come from?,['Chi-Beria']
Who won Super Bowl XX?,['Chicago Bears']
Which was the first European country to abolish capital punishment?,['Norvège']
In which country did he widespread use of ISDN begin in 1988?,['日本國']
What is Bruce Willis' real first name?,['Walter (TV Series)']
Which William wrote the novel Lord Of The Flies?,['Golding']
Which innovation for the car was developed by Prince Henry of Prussia in 1911?,['Rear-window wiper']
How is musician William Lee Conley better known?,['Bill Broonzy']
How is Joan Molinsky better known?,['Queen of Comedy']
In which branch of the arts is Patricia Neary famous?,['Ballet']
Which country is Europe's largest silk producer?,['Environment of Italy']
The VS-300 was a type of what?,['🚁']
At which university did Joseph Goebbels become a doctor of philosophy?,['Heidelberg romantics']
Which prince is Queen Elizabeth II's youngest son?,['Eadweard']
When did the founder of Jehovah's Witnesses say the world would end?,"['one thousand, nine hundred and fourteen']"
Who found the remains of the Titanic?,['Bob Ballard']
Who was the only Spice Girl not to have a middle name?,['My Love Is For Real (Victoria Beckham song']
What are the international registration letters of a vehicle from Algeria?,['DZ (disambiguation)']
How did Jock die in Dallas?,['Helicopter accident']
What star sign is Michael Caine?,['Pisces (disambiguation)']
Who wrote the novel Evening Class?,['Maeve Binchy']
Which country does the airline Air Pacific come from?,['Fiji Islands']
In which branch of the arts does Allegra Kent work?,['Ballet']
"Who had a 70s No 1 hit with Billy, Don't Be A Hero?",['Bo donaldson and the heywoods']
Banting and Best pioneered the use of what?,['Insulin antagonists']
Who directed the movie La Dolce Vita?,"['Federico Fellini, Cavaliere di Gran Croce OMRI']"
Which country does the airline LACSA come from?,['Countries: Costa Rica']
Who directed 2001: A Space Odyssey?,['Stanley Q-Brick']
Which is the largest of the Japanese Volcano Islands?,['Mount Surabachi']
Ezzard Charles was a world champion in which sport?,['Prize fight']
Who was the first woman to make a solo flight across the Atlantic?,['Amelia airheart']
Which port lies between Puget Sound and Lake Washington?,"['Seattle, Washington.']"
In which city were Rotary Clubs set up in 1905?,['Chi-Beria']
