question,answer
"What is the name of 11 Roman Emperors, the first of which transferred the capital to Byzantium in 330 AD, and the last of which died when it was captured by the Turks in 1453?",['Byzantine Empire']
The traditional 'Daily rum ration' was ended in what year?,['1827']
"The trade union Unison was formed by a merger of NALGO, NUPE and which other union?",['Natfhe']
Which creatures are used as croquet balls in the novel ‘Alice’s Adventures in Wonderland’?,['Cockroaches']
"""""""The Hunchback of Notre Dame"""" by Victor Hugo is one of the greatest ever French novels. What is the original French title of the book ?""",['Notre-Dame de Paris']
Who was the last British athlete to compete in the Olympic 100 metres final?,['Linford Christie']
Of which tribe of Red Indians was Geronimo a chief,['Apaches']
How many books are there in the New Testament of the Bible?,['㋖ᶰ']
"British artist Sir James Thornhill (1675-1734), history painter and sergeant painter to George I and George II, was related by marriage to which other artist?",['William Hogarth']
Which American city experienced an earthquake in the early hours of January 17th 1994?,['San Francisco earthquake of 1990']
Who wrote the play The Three Sisters?,['Anton Chekhov']
Alan Greenspan was the head of which US government department from 1987 to 2006?,['(U.S. Federal|g.) Federal Reserve']
"Which group of around 200 Greek islands in the Aegean Sea includes Andros, Naxos, Paros and Milos?",['Cyclades User-AI Dialogs: 624 User-AI Sentences: 7191 User-AI Conversations: 11 User-AI Interactions: 6 User-AI']
The Tumut Hydroelectric Power Station is in which Australian state?,['New South Wales']
"The 2010 Six Nations Championship, the 11th series of an annual rugby union competition contested by the six major Northern Hemisphere rugby union national teams, was won by France. Which nation won it in 2009 and came second in 2010 and 2011?",['☸']
The Carnegie family fortune was built around Andrew Carnegie’s success in manufacture in which industry?,['Steel']
What is the tallest kind of tree?,['General']
What was the name of the short-lived republic that existed in south-eastern Nigeria between 1967 and 1970?,['State of Biafra']
Which English monarch was the last to be born in France?,['Henry VI']
Who were the backing group of Junior Walker?,['Junior Walker & the All Stars']
"""What corporate mascot busts through a wall and then says """"Oh Yeah""""?""",['Homer Simpson']
"Aglaia, Thalia and. Euphrosyne were known as what?","['Nymphs, The Nine Muses of Mount Helicon']"
What is the most popular name for Whistler's canvas Arrangement in Grey and Black?,"[""Arrangement in Grey and Black. The Artist's Mother""]"
How many pieces are there in a standard set of dominoes?,['28']
What Missouri town calls itself the “Live Music Show Capital of the World”?,['Springfield']
The medical term bariatric refers (increasingly politically correctly) to what human condition?,['Weight loss']
George and Mildred and Robin's Nest were spin-offs from which TV series of the 1970s?,['Man About The House']
In which London street does fictional character Sweeney Todd have his barber shop?,['Fleet Street']
Which treaty was signed in March 1918 signalling Russia's exit from World War 1?,['Brest Peace Treaty']
Who was lead singer with Frankie goes to Hollywood,['Annabel']
Who played Margo Channing in the 1950 film ‘All About Eve’?,['Katy Channing']
"Give the surname of the classical music piano soloist sisters, Katia and Marielle?",['Duo of classical musicians']
In Greek mythology who gave King Midas the power to turn everything he touched into gold?,['The Cithaeronian Nymph']
"What is the title of the last Harry Potter novel, published in 2007?",['Hermione Granger and the Curse']
Limburger cheese is made from the milk of which animal?,['Goats']
Who was hanged in 1962 for the murder of Michael Gregson?,['John Bodkin Adams']
Which two colours make up the national flag of Greenland?,"['(green, white, blue)']"
"Had war not intervened, which city would have hosted the 1916 Olympics?",['Zúrich']
"Named from the Gaelic for elbow, what is the name of the Irish bagpipes played by squeezing air with the arm?",['Uilleann pipes']
"The song 'Everybody's Talkin' by Nilsson, featured in which film?",['Midnight Cowboy']
Who wrote the 1975 novel ‘The History Man’?,['Malcolm Bradbury']
What did Delia Smith train as before becoming a chef,['Pastry Chef']
What are the last six words of Rudyard Kipling’s ‘If’?,"['“If you can make one smile, one hour of peace.”']"
Della Street was whose secretary?,['Raymond B']
According to advertising which newspaper do top people take,['The FT']
Which eponymous hero of a Charles Dickens novel keeps a pet Raven called 'Grip'?,['Edward Rochester']
Which World War 2 American general was known as 'Vinegar Joe'?,['Omar Bradley']
"In climatology, pluvial relates to what?",['Rainfall']
Summerisle is the setting for which 1973 horror film?,['The wicker man (film)']
Who in 1975 became the first black man to win a Wimbledon singles title?,['Arthur Ashe Tennis']
What collective noun is normally used to describe a group of finches or hummingbirds ?,['Flock']
In which country would you find a TGV train?,['France']
What consumer electronics product shares its name with the common name of the fruit Rubus Fructicosis?,['Apple']
"""What was the title to John Buchan's sequel to """"TheThirty Nine Steps""""?""",['Mr Standfast']
Who was the British monarch when Theodore Roosevelt was the US President?,['Edward VII']
Who was famous for popularising the 'little black dress' in the 1920s?,['Elsa Schiaparelli']
Which country took over the Presidency of the European Union from Sweden on 1st. January 2010?,['Republic of Lithuania']
Which act won the Eurovision Song Contest for the United Kingdom singing Love Shine A Light?,['Love Shine a Light (song)']
Which 1962 ecological classic was written by Rachel Carson?,['The Silent Spring']
"What, if any, relationship was shared between Dear Abby and Ann Landers?",['They were twins...Syndey and Abigail van Voorhis']
What was the name of the Edinburgh dog that watched over his owner's grave for 14 years?,['Old Glory']
"In orbit from 1973 to 1979, what was the name of the first space station launched by NASA, which met a firey end over the Pacific Ocean (and parts of Western Australia), on July 11, 1979?",['Salyut 1']
"Which 1986 Peter Weir movie and based on a Paul Theroux novel starred Harrison Ford, Helen Mirren and River Phoenix?",['Witness']
"The gravesite of what American writer, buried in Baltimore, is mysteriously visited every January 19th, to receive a toast of cognac and 3 roses?",['F. Scott Fitzgerald']
