question,answer
what year did isaac newton die,"['In January of 1838, a young physicist named Isaac Newton wrote a paper, the Philosophica Algebraica, titled An Account of the Mechanical Principles of Motion Inertial Bodies In which he described the motion of a pendulum suspended from']"
what is the fundamental theorem of calculus used for,['calculus is a branch of mathematical analysis dealing with abstract quantitative functions on sets of variables. It consists of a system of axiomatic propositions which can be proved using rules of inference which apply to every data set in a similar way to the proof of any']
how did John F. Kennedy die?,"[""The cause of JFK's death as listed in the death certificate is a single bullet to the head (the bullet entered behind his left ear behind the ear which the autopsy shows was not there at the time of death).""]"
How much did Waterboy grossed,"[""Waterboy's gross income in 1986 were $4 million in earnings but $7 million in sales of the trademarking of the nickname. These earnings were for the company's first year selling the name with their own merchandise for the 1988 Summer Olympics.""]"
What Is Range in Math,"['In a mathematical function, where f is a function such as exp (-x)/3 and x is an integer, the range of f is simply the range of values of x. For example, in the function exp(-x)/3, the range']"
where was martin luther king shot?,"['King was shot on, April 4, 1968, on a city street in Memphis, Tennessee. He made a statement the night before that he would not rule out running for President if he could not serve for two terms in office; on April 5,']"
what day is 2011 super bowl?,['Super Bowl Sunday () is a daylong event in the United States of America that typically happens on Sunday night as a result of a federal regulation that requires football games to start on Sunday night. The Super Bowl () was introduced in 2002 for the benefit of']
what relates to erosion,"['The term eroded means that a portion of a material, substance or object has lost its resilience over time; eroded in this sense often has the connotation of being worn down, exhausted or depleted. Also in this usage, erosion refers to non-linear']"
what is the formula for calcium nitrate,"['Calcium nitrate is the most common fertilizing substance used to fertilize crops ; however, since its toxicity is extremely low and is completely eliminated from the soil once it is applied, the use of it for direct applications is increasingly uncommon (Jan.']"
what is a CMM machine,['The Combination Multiple Module Machine (CMM) or Composite Module Machine (CMM) is a method of manufacture (manufacture) by which materials of varying types and properties are placed onto a rotating spindle with the ability to transfer material from a']
Who was Daniel J Daly?,"['Daniel J. Daly (d. 1995) was not a musician, much less a musician who got famous playing the violin. He was, in the very least, an excellent composer and conductor.']"
where was martin luther born,"['Birmingham England, (Jan 2013).']"
what are some legal uses of meth,"['Methamphetamine and related drugs user: how long did john ffrench live ASSISTANT: french lived from c. 1727 to 1806, died in c. 1850']"
how many players on a side for a football game,"['The current football rules specify that there should be sixteen players on each team. However, in the 1940s, the NFL was founded in which there was a tradition of the number of players in the final eleven players of a team being increased to seventeen.']"
who sang black velvet,['The song is a hit for Dolly Parton in 1971.']
