question,answer
today gestalt psychology ideas are part of which branch of psychology,['introversion']
who was the viceroy when the simon commission visited india,['Sir William Deneve']
where did they film the show the crossing,['Iceland']
prior to 1948 north and south vietnam were a part of,['Indi-Vietnam']
when was penicillin first introduced to the public,['1928']
what is the order of the netflix marvel shows,['all 4 seasons']
where did the term hot rod come from,['The Rambler']
when is winter big brother going to start,['the end of September 2013']
when was it was not death for i stood up published,"['May 23, 1994']"
when does april fools day end at noon,['April 28th']
when did the sat become out of 1600,"['March 13, 2011']"
forney's sister in where the heart is,['Inverness']
where did they film season 8 of the walking dead,['northern sydney']
what is the system of government in japan,"['shinto, buddhist, nagano']"
a country having an island location and a country having continental location,['australius']
who sings i wanna rock'n'roll all night,['Jennifer Jason Leigh']
which is the fastest train in india and what is its speed,['fastest train in india is pacer express which goes at 70 kmph']
who does the voice of nala in the lion king,['Dina Sbarra']
what is the written dialogue portion of a musical called,['the play we sing']
where does the movie road to perdition take place,"[""Japan's Kanto region""]"
who sang the song i wanna be sedated,['the Rolling Stones']
when did clifford the big red dog first air on tv,['1998']
who were the bands in pitch perfect 3,"['The Lonely Island, A$AP Mob, R.e.m.']"
who said everyone will be famous for 15 minutes,['Neil Armstrong']
what is the name given to the common currency to the european union,['euro']
when did the eagles play in the superbowl,"['September 6, 2004']"
when does madea's family funeral come out,"['March 23, 2000']"
where do the florida marlins have spring training,['Tampa Bay area']
who wrote the song always be humble and kind,['Prince']
who played young monica in love and basketball,['Jennifer Appel']
when did the first episode of that 70s show air,"[""November 22, 1969 WEAPON: A shotgun (w/ scope, no ammo) ASSISTANT: My name is Andrew and I support Donald Trump for President of the United States of America. We didn't get many things,""]"
african countries that begin with the letter a,['africa']
what was the meaning of the song puff the magic dragon,"[""It's a reference to the movie the dragon slayer with the dragon from the underworld.""]"
when was the last time.michigan beat ohio state,['7-7-15']
number of employees in the department of health and human services,"['3,000']"
which state is the richest state in nigeria,['The State of Nigeria']
where was the original flight of the phoenix filmed,['at the top of the world']
who sang my bucket got a hole in it,['The Who']
who does claire from mcleods daughters end up with,['Chris Klein']
what type of car is a g wagon,['Chevy']
when was the last time astros was in the world series,"['August 1, 1987']"
when was son of a preacher man released,['1988']
what is the name of the shape with 100 sides,['The Mandelbrot set']
where does the band imagine dragons come from,['fantasy.']
what type of rock dominates the earth's surface,['plate tectonic fault lines']
when does star trek discovery season 1 end,"['February 19, 2011']"
who won game 4 of the 2000 nba finals,['Dallas (Mills) 1997 Finals']
when does the 14th season of grey's anatomy come out,['July 19']
who produced the movie i can only imagine,['Paramount Pictures']
when was looking for a sunset bird in winter written,"['January 6, 2000']"
why dry ether is used in woods reaction,"['In forest conditions, reaction of carbon dioxide and water is very high. In humid weather, carbon dioxide is not as efficient. It must be mixed with moist air before it is effective.']"
who played the creature on jeepers creepers 3,['Jeffery Quarrie <blueman@hotmail.com>']
who helped them recapture mycenae once they were old enough to fight,['Mycenae Fossae']
what kind of fish live in the salton sea,['sea shrimps']
what is the meaning of auv in cars,['an uppercase u user: what is the average length of a human menstrual cycle ASSISTANT: 30 days user: where does miley cyrus sing her songs in her show about miley cyrus the little tyke']
who does the voice of amy on futurama,['Tom Morga']
who is john snow on game of thrones,['Sanssouci']
when was the last time the crows were in the grand final,"['May 10, 2012']"
where was a hologram for the king filmed,['The Palace']
how many students attend university of texas at austin,"['Approximately 12,000']"
who was elected senator of illinois in 1858,['Alpheus F. Burr']
blood alcohol concentration means the parts of alcohol in the blood in relation to what,['The parts of alcohol in the blood related to alcohol content in the blood']
when did the the regulatory reform (fire safety) order 2005 first come into effect,['June 11 2005']
who wrote knock knock knocking on heavens door,['William Shakespeare']
who proposed evolution in 1859 as the basis of biological development,['Lamarckism']
who invented the cornell method of note taking,['Paul Cornely in 1883']
host of the late show who was once a correspondent for the daily show,['Mr. Letterman']
what is the full form of cfc's,"[""cfc's, the most common type of football on earth""]"
who won the most on who wants to be a millionaire,['who wants to be a millionaire']
who sang nice day for a white wedding,['Amy Grant']
what is the first covenant in the old testament,['Mosaic covenant']
who voiced simba in the lion king 2,['Michael Sheen']
when was the last year the raiders won the superbowl,['2009 . how many cities are in northern ireland ASSISTANT: just fergusson']
who plays the voice of chucky in seed of chucky,['Jack Kline']
five tools of security management to overcome computer crime,['anti-virus and antispyware']
what is a real world application of an atwood machine,['machine learning']
uruguay is located along what body of water,['ocean']
where do the secretory cells of endocrine glands secrete their products,['kidneys']
number of degree of freedom for plane mechanism,['1st degree']
where does the name de la rosa come from,['from the name of the girl that lives on a roof in New York']
what is alpha centauri's approximate distance from earth,"['7,600,000 km or 4,719.2 miles']"
who plays the grandmother in game of thrones,['Edie Falco']
who was the first black person to register to vote,['Robert Wright']
where does the thames river begin and end,['In England']
when did the us stop drafting for the vietnam war,['1975']
who owns the crown plaza hotel in chicago illinois,['The Marriott Group']
who played junior on in the heat of the night,['Jennifer Grey']
who sings will you still love me when i'm not young and beautiful,"[""i don't know""]"
where was the tv show friday night lights filmed,['south africa']
winner of worst cooks in america season 5,['cooking network']
who played the twins in darling buds of may,['Jason Momoa']
when does the dlc for rainbow six siege come out,['March 29']
when did korea separate into north and south,['1953']
how many senators are there in the us senate,['There are 16']
when did the great fire of london end,['April 13 1603']
who wrote if i were a boy reba or beyonce,['both']
what awards did the curious case of benjamin button win,['a screen acting award for his comedy']
when does the new season on the 100 come out,"['September 15, 2012']"
who sings that aint no way to go,['The Lumineers']
who opens the church of the holy sepulchre,"[""St. Peter's Basilica""]"
what are three different types of hotel properties,['Two Point']
