question,answer
when the body is systemic,"['When infection has spread throughout the whole body, it is referred to as a systemic infection.']"
what is the definition of a map,['A map is a symbolic depiction showing the objects of spatial perception on a flat surface ( such as paper ).']
what is a wwII theater,['A theatre of World War II was one of the five major or secondary theatres of operations that major military alliances fought in during the war.']
How much did Waterboy grossed,"['When it\'s 2:15 AM, the water boy wipes his forehead, grabs a box of ju-ju-bees. The ghost of a little girl passes by. ""Oof, oof"" he']"
what is preciosa crystal?,"['In December 1998, the FTC, acting on Preciosa\'s complaint, ordered Czech Crystal, Inc. to discontinue the unauthorized use of the ""Preciosa"" trademark in the']"
what are circumpolar constellations,['A circumpolar constellation (also circumpolar constellations ) is a constellation that appears on the sky around the north celestial pole during the course of a year.']
what school did Zach Thomas play for before making it in to the NFL,"['Zachary A. Thomas (born September 6, 1973 in Lumberton, New Jersey) is a former American football linebacker who played five seasons with the New Orleans Saints, two seasons with the Miami Dolph']"
who first synthesized heroin,"['Heinrich Dreser (1861-1937), a German organic chemist, was the first person to synthesize the principal active ingredient of heroin, diamorphine, from morphine. :']"
what can sql 2005 do,"['To execute DML operations it is necessary to have proper access rights, including at least SELECT access to the table.']"
how often does ham station need to ID?,"[""In North Carolina, the minimum frequency for a station's callsign is 10 kHz, however, the station should be programmed to say their callsign and information on a minimum of once per hour.""]"
how old r Dylan and Cole Sprouse,"['Cole Sprouse is 19 years old. He was born on August 4, 1992 in Arezzo, Tuscany, Italy.']"
what is in a tequila sunrise?,"['The Tequila Sunrise is a cocktail made with tequila, orange, and lime juices, and a splash of grenadine syrup, and served in a rocks glass.']"
WHAT IS A FY QUARTER,"['Fiscal year or fiscal year quarter, abbreviated as FY, is the portion of a year considered by a government or business as their financial year.']"
what does hair testing show,['Hair sampling is an analysis that measures the presence or absence of drugs in the hair.']
who is mary matalin married to,"['A former Washington, D.C. super lawyer, Mary Matalin worked for Republican Presidents Gerald Ford and Ronald Reagan, was the youngest Republican National Committeewoman in history, is best known as a pundit']"
what is petit lemans,['The Petit Le Mans presented by Mazda was a motor race held annually from 1998 to 2013.']
where was martin luther king shot?,"['On April 4, 1968, Martin Luther King Jr. was assassinated and died on the balcony of the Lorraine Motel in Memphis, Tennessee at the age of 39. :']"
how many players on a side for a football game,"['The length of the football field is 120 yards (109.7 m), and the width is 53 1/3 yards (48.8 m). There are sixty feet between the inside faces of the']"
how does a dim sum restaurant work,['Dim sum (also known as yum cha or yum kin) is a style of Chinese cuisine based on small bite-sized portions of food served in small steamer baskets or on small plates.']
who is basketball star antoine walker,"['Antoine Walker (basketball) is an American former basketball player who is currently the CEO of a new minor-league basketball team called the Fort Wayne Mad Ants starting next season, who was drafted by the Chicago Bulls 6th']"
"what is the concept of ""wellness"" ?","['Wellness is a state of being in which an individual functions physically, emotionally, socially and spiritually.']"
where does angela davis currently work,"['Angela Davis is an American political activist, scholar, and author. She is the UCLA Distinguished Professor Emerita of History of Consciousness and of Feminist Studies.']"
who was mr big on sex and the city,['Mr. Big/Mrs. Big is a fictional character played by Chris Noth on the US television series Sex and the City ( 1998-2004) and The CW series Sex and the City 2']
how kimberlite pipes form,"['The kimberlite is a group of distinct types of igneous rocks that have the highest content of the mineral peridotite, a dense ultramafic variety of the major rock type called the peridotite']"
what is a day care for?,"[""A day care is a supervised child care arrangement in which adults provide care outside the child's home, usually to children less than old enough for kindergarten ( 5 to 6 years of age ).""]"
how jameson irish whiskey is made,"['Jameson Irish Whiskey is a brand of Irish whiskey, blended and bottled by the Irish Distillers Group.']"
who is suicide tna,"['Suicidal Tendencies is an American crossover thrash band founded in 1981 in Venice, Los Angeles.']"
what is the erb/heart,"['The Eighties Matchbox B-Line Disaster or Erb: is an unnamed British trio from Dudley, West Midlands, England.']"
what did tycho brahe do,['Tycho Brahe (14 October 1546 – 24 October 1601 ) was a Danish nobleman and scientist who is best known for his accurate and comprehensive astronomical and planetary observations']
what is a duvet cover used for,"['A duvet (a French word meaning ""duck stuffed"") is the name for the filling and the cover together, of a type of bedding product.The term comes from the Old French duvet, which came from the Old Italian word']"
what is adoration catholic church,"['Roman Catholics believe adoration of Christ, properly understood, is always possible.']"
how many grams in a troy ounce of gold,"['31.1034768 g Gold is a chemical element with symbol Au (Latin for ""gold"") and atomic number 79. The blue gold metal is found in nature.']"
what kind of school is MIT,"['An independent, coeducational, nonsectarian institute of higher and graduate education, Massachusetts Institute of Technology (MIT or the Institute) was founded in 1861 with an endowment from Andrew Carnegie ; its']"
who sang I want to dance with somebody,"['""I Want to Dance with Somebody (Who Loves Me)"" is a song written and sung by American singer-songwriter, who made the song popular in 1978.']"
what is the type of democracy in which all citizens have the right to make  government decisions,['Direct democracy is a form of democracy in which people of a common state are directly involved in making governmental decisions..']
Who was Daniel J Daly?,"['A General in the United States Marine Corps (USMC), Daniel Joseph LeRoy Daly (January 13, 1873 - Dec. 15, 1937) was credited with leading']"
when did marlins start,"['The Marlins officially began play with a spring training game against the St. Louis Cardinals on March 30, 1993.']"
what is customary at shiva,"['The laws relating to the period of mourning are also customary rather than ritual. They vary between the Jewish denominations, but they usually involve the mourner becoming de facto unemployable and disqualified from sexual']"
what is the purpose of child support?,['Child support is a payment made to the parent who does not have primary custody of the child.']
what is the function of the liver,"['The liver performs many vital functions in the body, including detoxification, protein synthesis and essential amino acid production, and the production of biochemicals necessary for digestion.']"
what are d.o. of medicine,"['The duties of doctors are very different from those of most other careers. On one hand, they are responsible for the lives of their patients, and therefore for performing complex physical examinations.']"
what is doxycycline hyclate used for,"['In combination with other medications, doxycycline is used to treat some infections caused by bacteria, including pneumonia and respiratory tract infections (such as or tick bites.']"
what would be the deliverables,['A deliverable (or deliverable item) is a specific product or service a contractor (supplier) agrees to produce (or deliver) for a defined price by a certain delivery date.']
