question,answer
How many 'Oscars' did the film 'Slumdog Millionaire' win?,['8 Oscars for Slumdog Millionaire']
"""Who, according to T S Eliot, """"always has an alibi, and one or two to spare""""?""",['Annie']
After Harold McMillan who was Britain's next Prime Minister?,['Sir Alec Douglas-Home (1963–1964)']
Which comedy duo were born Bartholomew and Wiseman?,['Mitchell']
Who is Head of State of New Zealand?,['Elizabeth II']
Poplin is a type of 18th-century-originating?,['woollen fabric']
"Harper Seven, born in 2011, is whose daughter?",['David and Victoria Beckham']
Who was the first woman to fly the Atlantic solo,['Anne Marcie Gorsky']
What is the fin called underneath the rear of a surfboard?,['Tail']
"In a car, what can be an 'SU', a 'Weber', or a 'Zenith'?",['Carburetor']
American businessman and philanthropist Solomon Guggenheim (1861-1949) established a famous eponymous international network of?,['Museums']
Lyrics: Some of them want to abuse you some of them want to be abused,['S&M']
The oak furniture maker Robert Thompson included a carving of which animal on almost every piece he made from the 1920s until his death in 1955?,['Green Man']
Who became Lord Mayor of London in 1397?,['Richard Whittington']
What is the lowest level of the Earth's atmosphere?,['Troposphere']
What is the name of the A1 Pacific steam locomotive which was completed in 2009 and is the first of its kind built for over 50 years?,['Tornado']
"""Which American vocalist (described by the British newspaper """"The Guardian"""" as """"one of the greatest voices of her generation"""") whose repertoire included jazz, blues, folk, gospel and pop, was unknown outside Washington, D.C., until after she died of melanoma in 1996?""",['Billie Holiday']
Anaphylaxis is what sort of life-threatening illness?,['A severe allergic reaction.']
What was the first animated film to be nominated for an Oscar for best picture?,['Beauty and the Beast']
"""In """"The Hitchhikers Guide to the Galaxy"""" by Douglas Adams, what was the name of the computer that determined that the answer to the ultimate question of Life, the Universe and Everything was 42?""",['Deep Thought']
"Which musical instruction or notation indicates a piece should be played with a tempo having slow movement; restful, at ease?",['Andante']
Who was the only female victim to be killed off in the opening credit sequence in Police Squad?,['Jane Spencer']
"Who was the woman who was, at one time, the leader of the trade union SOGAT?",['Sheila Cameron (trade unionist)']
Who was the first reigning British monarch to make an official visit to the USA?,['Queen Elizabeth II in 1957']
Former tennis player Vijay Armitrage apears in which James Bond film?,['The Living Daylights']
"In Harry Potter And The Goblet Of Fire, which dragon did Harry have to defeat?",['Drago']
Vancouver is not the first Canadian city to host the winter Olympics. What city holds that honor when they hosted the 1988 games?,['Calgary']
Which famous novelist also wrote under the pseudonym Richard Bachman?,['Stephen Edwin King']
What were Pangaea and Gondwana?,['Supercontinents']
Which island in the Grenadines of St. Vincent was bought by Colin Tennant in 1958? Princess Margaret built a holiday home there in the 1960's.,['Mustique Island']
In British Wrestling who was Shirley Crabtree?,['Big Daddy']
John and David Lloyd represented Great Britain in the early 1970s at what sport?,['Snooker']
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,"[""Billie Jean King Phew, the second of March and I'm still behind with my questions/answers - at this rate I'm never going to do it...""]"
"What ancient civilization was centred in the north of ancient Canaan, with its heartland along the coastal regions of modern day Lebanon, Syria and Israel?",['Phoenicia']
"In the game of Cluedo, what colour is the piece that represents Mrs Peacock?",['Yellow']
What is the collective term for a group of Morris dancers?,['Side The first AI system to pass the Turing Test was the ELIZA chatbot created by Harvard Psychologist Dr. Merrill Weiner and Programmer Eberhart Feist in 1966. The']
"""The song """"If I Ruled The World"""" comes from which musical?""","['1968 musical film ""Willy Wonka and the Chocolate Factory""/movie']"
"The Bridge of the Horns is a proposed construction project to build a bridge across the Bab-el-Mandeb, the strait between the Red Sea and Gulf of Aden. What two countries will it connect?",['Yemen (PDR)']
What is the title of the chief of a lifeboat crew,"['cox [The system decides that the question was not asked properly] [The assistant has decided to ask an alternative set of questions. However, all the questions are now about coxing.] QUESTIONS ASKED BY SY']"
What toxic fished is called fugu in Japan?,['富豚']
"Who was the former wife of war hero Leonard Cheshire who founded, in 1953, a charitable organisation with the emphasis on care homes and hospices?",['Sue Ryder']
Who was the first American President to live in the White House; he moved there in 1800?,['John Adams']
Who recorded the original version of the song When A Man Loves A Woman ?,['Percy Sledge']
"What game, created in 1904 by a quaker, Elizabeth (Lizzie) Phillips, when revised by Charles Darrow and others became one of the world's most played commercial board games?",['Monopoly']
What nationality was three time Olympic gold medallist in figure skating Sonja Henie?,['Norwegian']
Which King of England is buried in Gloucester Cathedral?,['Edward II']
What model of Ford was named after a city in Southern Spain,['Fiesta 2003']
"""Whose motto is """"Je Maintiendrai""""?""",['Luxembourg Motto']
How is the number 14 written in Roman numerals?,['XIV']
Which song begins with the line The taxman's taken all my dough?,['ELEANOR RIGBY']
"Who wrote the novels About A Boy, How To Be Good and High Fidelity?",['Nick Hornby']
Who hosted the 2006 Academy Awards ceremony?,['Jon Stewart']
What is the system of raised dots called which blind people use to read with their fingers?,['Braille']
Which Italian city is the setting for Romeo and Juliet?,['Verona']
What type of animal is a pongo,['Anthropomorphized']
"Satisfactellent, Nougatocity, Hungerectomy, Substantialicious and Peanutopolis were all used to advertise what product?","[""Peanut M & M's""]"
Give any year in the life of the Portuguese prince known as Henry the Navigator.,['1431-1460']
Who wrote the 1951 novel ‘The Caine Mutiny’?,['Herman Melville']
Which singer-actress played 'Evita' in the 1996 film of that name?,['Madonna']
Charles Lindbergh died in 1974. Where was he buried?,"['Westwood Cemetery, Annapolis']"
Who co-starred with George Clooney in the 2013 movie Gravity?,['Sandra Bullock']
"""In a famous speech by Winston Churchill on 4 June 1940 that began """"We shall fight in France, we shall fight on the seas and oceans"""", he went on to say that """"we shall fight"""" in the air, on the beaches, on the landing grounds, in the fields, in the streets, and where else?""","['In the hills, on the mountains, on the valleys, on the ridges, and on the plains. CASUS BELLI! - The War Cabinet']"
What is the astronomical term for the measure of the reflective ability of a heavenly body?,['Albedo']
"What word makes new words as a prefix with the words cover, line, code and ship?",['-ism']
"Aviemore, in Scotland is at the heart of which National Park?",['Cairngorms National Park']
"""""""Andre 3000"""" & """"Big Boi"""" make up which hip hop duo?""",['Outkast']
"To within a year either side, in which year was the complete English FA Cup Final first shown live on television?",['FA Cup Final']
"In Roman mythology, who was the god of war?",['MARS']
"Italian Dr Mattheo Thun, whose work can involve bottles and cutlery among other things is best described as what?",['Forensic pathologist']
A creance is the name of the long fine cord used in which sport?,['Archery']
Which sport was developed in 1895 when the Rugby Union refused to allow professionalism?,['Rugby League']
What is the capital of Taiwan?,['Taipei']
"November 30, 1810 saw the birth of what U.S. inventor and business man who is created with creating ""the gun that won the west""?",['Samuel Colt']
"In which sport in Britain is the 'Elite League' the top division, with teams such as 'Coventry Bees' and 'Poole Pirates'?",['Speedway']
Who directed the 1975 film 'French Connection 2'?,['John Frankenheimer']
