question,answer
who is the head of the department of homeland security 2017,['John Kelly']
when did the ncaa tournament became more important than the nit,['The Final Four']
what does hp mean in war and order,['Human Personnel']
when did world war 2 officially start and end,['December 1939 – September 1945']
what is the highest peak in the ozarks,"['Mount Magazine 2,753 feet']"
where was the movie a walk among the tombstones filmed,"['Suffolk County, New York']"
who dies in akame ga kill night raid,['Wave']
when did red dead redemption 1 come out,['2010']
when did the bill of rights come out,"['December 15, 1791']"
who invented the transtheoretical model of behavior change,['James Ollila Prochaska']
dark parables return of the salt princess release date,['November 1']
who are considered to be the founding fathers,['founding fathers']
what emperor took over france after the reign of terror,['Napoleon Bonaparte']
where was the movie i am number 4 filmed,['Canada']
what is the largest bill in american money,['$100']
communities of similar organisms found in a particular environment are called,['ecosystems']
jonny cash one piece at a time car,['Pink Cadillac']
where does the sweetness of fruit come from,['sugars']
who was the first to say i'm going to disney world,['Mickey Mouse']
what percentage of global man-made co2 emissions comes from worldwide aviation,['11.5%']
who wrote ain't living long like this,['Paul McCartney']
who won the most mvp awards in the nba,['Michael Jordan']
where did they get the tree for rockefeller center,['in the area around Rockefeller Center']
who played the original wonder woman on tv,['Lynda Carter']
who was one of the first to chart the course of forgetting over time,['Hermann Ebbinghaus']
who were the two mathematicians that invented calculus,['Isaac Newton and Gottfried W.']
when does part 5 of jojo take place,['April']
what kind of metric system does the us use,['U.S. Customary units']
how many points are scored for a touchdown in american football,['6']
who sings only love can break your heart,['Neil']
who wrote if she knew what she wants,['Carly Simon']
what was the actual year that the movie regarding the titans took place,['100-Years.']
when does the shape of water book come out,"['08th December, 2017']"
who sang once upon a dream at the end of maleficent,['Lana del Rey']
who is known as the philippine queen of bossa nova,['Claira Alexis']
what are the zords in the power rangers movie,['zords']
the first political society started under british rule in india was,['Bengal nawab']
who carried the us flag in the 2014 olympics,['Michael Phelps']
who has given the theory of unbalanced economic growth,['W. W. Rostow']
a system of fortifications along france's border,['Maginot Line']
who is the owner of phoenix mall in chennai,['Phoenix Mills Ltd']
what is the name of india 29 state,['Arunachal Pradesh']
who were the nationalist in the spanish civil war,['Nationalists (Nationalists)']
who devised the fingerprint classification still used today in europe and the us,['Henry Faulds']
what was the name of the plant on little shop of horrors,['Venus Flytrap']
when does the new saw 8 come out,['September 2017']
who became a leader of the indian national congress,['Mohandas Karamchand Gandhi']
when did slave to the rhythm come out,['1987']
when was the statue of liberty in france built,['December 1886']
when does middle-earth shadow of mordor come out,['August 2014']
where is the heart of palm on a palm tree,['The heart is at the base of the palm frond.']
ranjit sagar dam has builded over which river,['Yamuna']
in which year was led zepplin refused entry into singapore because the band members had long hair,['1968']
