question,answer
how are glacier caves formed?,['A glacier cave is a cave formed within the ice of a glacier .']
how much is 1 tablespoon of water,['This tablespoon has a capacity of about 15 mL.']
how much is 1 tablespoon of water,['In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.']
how much is 1 tablespoon of water,['In Australia one tablespoon (measurement unit) is 20 mL.']
how much are the harry potter movies worth,"['The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.']"
how a rocket engine works,"['A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .']"
how are cholera and typhus transmitted and prevented,"['Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.']"
how did anne frank die,"['Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.']"
how are aircraft radial engines built,['The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.']
how deep can be drill for deep underwater,['Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.']
how old was monica lewinsky during the affair,"['Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996.']"
how long was frank sinatra famous,"['Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.']"
how much is jk rowling worth,"[""The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.""]"
how big is auburndale florida,"['According to the U.S Census estimates of 2005, the city had a population of 12,381.']"
"how old is kirk douglas, the actor?","['Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.']"
how old is the singer bob seger,"['Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist .']"
how long was richard nixon a president,"['Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.']"
how old were the twin towers when destroyed,"['The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.']"
how are the # of electrons in each shell determined,"['Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on.']"
how many presidents of the us,"['There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president.']"
how old is beatrice author,"['Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades.']"
how are public schools funded,"['State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation .']"
how are public schools funded,"['The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government.']"
what happens  to the light independent reactions of photosynthesis?,['The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .']
what happens  to the light independent reactions of photosynthesis?,['These reactions take the light-dependent reactions and perform further chemical processes on them.']
what did mia hamm do his work,"['Mariel Margaret ""Mia"" Hamm (born March 17, 1972) is a retired American professional soccer player.']"
what countries are under the buddhism religion,"['This is the predominant form of Buddhism practiced in China, South Korea, Japan, Taiwan, Singapore, and Vietnam.']"
how did wild bill's father die,"[""He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota ).""]"
how many land rovers have landed on mars,['There have been four successful robotically operated Mars rovers.']
how do forensic auditors examine financial reporting,"['The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework.']"
how do forensic auditors examine financial reporting,"['The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements.']"
how do forensic auditors examine financial reporting,['Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.']
What did the augurs use to interpret the will of the gods?,"['His main role was to interpret the will of the gods by studying the flight of birds : whether they are flying in groups or alone, what noises they make as they fly, direction of flight and what kind of birds they are.']"
"What county is Farmington Hills, MI in?",['It is the second largest city in Oakland County in the U.S. state of Michigan .']
what does a groundhog look for on groundhog day,"['According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks.']"
What committees are joint committees,['A Joint Committee is a term in politics that is used to refer to a committee made up of members of both chambers of a bicameral legislature.']
how many stripes on the flag,['The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.']
How many states and territories are within India?,['India is a federal union of states comprising twenty-eight states and seven union territories .']
what county is galveston in texas,['Galveston County is a county located in the U.S. state of Texas within the Houston–Sugar Land–Baytown metropolitan area.']
what cities are in the bahamas,['Nassau']
what cities are in the bahamas,"['Freeport, Bahamas']"
how many schools are in the big ten,"['Its twelve member institutions (which are primarily flagship research universities in their respective states, well-regarded academically, and with relatively large student enrollment) are located primarily in the Midwest , stretching from Nebraska in the west to Penn State in the east.']"
how is single malt scotch made,"['Single Malt Scotch is single malt whisky made in Scotland using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient.']"
how is single malt scotch made,"['As with any Scotch whisky , a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years (most single malts are matured longer).']"
what composer used sound mass,"[""Composers and works include Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate .""]"
what composer used sound mass,"[""A very early example is the opening of Jean-Féry Rebel 's ballet Les Elémens (1737–38), where chaos is represented by a gradually cumulating orchestral cluster of all seven notes of the D minor scale (Henck 2004, pp. 52–54).""]"
what composer used sound mass,"[""A later example is the third movement of Ruth Crawford Seeger 's String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock 's multiple drone based music serves as an example.""]"
what composer used sound mass,"['The use of ""chords approaching timbres"" begins with Debussy and Edgard Varèse often carefully scored individual instrumental parts so that they would fuse into one ensemble timbre or sound mass (Erickson 1975, pp. 18 and 21).']"
what composer used sound mass,"['Other examples include European ""textural"" compositions of the fifties and sixties such as Krzysztof Penderecki \'s Threnody to the Victims of Hiroshima (1959) and György Ligeti \'s works featuring micropolyphony in works like Atmosphères (1961) and his Requiem (1963-65).']"
what composer used sound mass,"['Other composers with works using this technique include Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky .']"
what composer used sound mass,['Sound mass techniques also appear in the music of George Crumb (Anon. n.d.).']
what continent is australia,"['Australia is a continent comprising mainland Australia , Tasmania , New Guinea , Seram , possibly Timor , and neighbouring islands.']"
how many people live in atlanta georgia,"['Atlanta (, stressed , locally ) is the capital of and the most populous city in the U.S. state of Georgia , with an estimated 2011 population of 432,427.']"
how many people live in atlanta georgia,"['Atlanta is the cultural and economic center of the Atlanta metropolitan area , home to 5,457,831 people and the ninth largest metropolitan area in the United States.']"
what does it mean to be a commonwealth state,['Commonwealth is a traditional English term for a political community founded for the common good.']
how long can you be in the supreme court,"['Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment .']"
what county in texas is conroe located in,['Conroe is the seat of Montgomery County and falls within the metropolitan area.']
What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,"['Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold – in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position.']"
