question,answer
how is whooping cough distinguished from similar diseases,"['While pertussis is distinct from other respiratory illnesses, it can cause complications that may require hospitalization and can result in death.']"
what is the erb/heart,"['ERB / Heart, LLC provides a wide range of diagnostic imaging and other services throughout the Inland Northwest. ERB is committed to delivering state-of-the-art diagnostic imaging and advanced cardiovasc']"
what is a group of deer called,"['While a group of deer is known as a herd or a parcel, there are many other common terms for a group.']"
who makes skittles?,['Skittles is a brand of fruit-flavoured confectionery produced by Cadbury Adams.']
Where does the word baptism come from,"['From Old Egyptian bapt(u), ""to wash""; Coptic baptism, ""baptism""; from the earliest times, connected with the belief in the saving efficacy of washing.']"
what is a popular people meter,"['According to Nielsen, a "" people meter"" is a metering device used to accurately record the number of people that watch a broadcast television program. User: Who is the CEO of Chipotle Assistant: Steve']"
who are all of the jonas brothers,"['The Jonas Brothers are a famous teen pop band that consists of: Nick Jonas (Nicholas Jerry Jonas, born September 16, 1992), Keiran Jonas (Keiran Ferdinand Jonas']"
what relates to erosion,"['There are four different types of erosion processes, each affecting Earth in different ways.']"
what is sodium hypochlorite solution,"['Sodium hypochlorite (or sodium chlorite), commonly known as household bleach, is a solution of sodium chlorite in water. It is a chemical compound with the formula NaClO. ']"
who wrote the song hallelujah,"['""Hallelujah"" was covered by a number of other singers during the 20th century, including Bono on The Millennium Campaign: A Day in the Life, Jeff Buckley on Mystery White Boy']"
who invaded north africa during ww2,"['During World War II, the British and American armies, under the leadership of Field Marshal Bernard Montgomery, invaded North Africa inOperation Torch on 8 November 1942.']"
where was martin luther king shot?,"[""Martin Luther King Jr.'s assassination, the murder of the American civil rights movement leader on April 4, 1968, by James Earl Ray, a criminal who escaped from prison in England where he was serving time for bank rob""]"
what can sql 2005 do,['Microsoft SQL Server is the relational and object oriented database management system (often abbreviated to DBMS) provided by Microsoft Corporation.']
what percentage of water in in the body,"['Up to 0.3% of total body weight is water, primarily found inside cells and blood.']"
where is the tibia location,['The fibula (alternatively spelled fibula or fibula) is the smaller of the two bones of the lower leg found in many mammals.']
where is big pokey from,"['Ernest Eckley a. k. a. Pokey (born June 1966) is a former Aryan Brotherhood prison associate, also known as Big Pokey.']"
how many amendments in us,"['Originally, there were seven articles and six amendments, with the first ten amendments also being called the Bill of Rights.']"
what circuit court is maryland,['The Maryland Courts.']
how much of our universe does plasma make up,"['The fraction of the total energy of the Universe represented as in the form of plasma is very small, 0.027±0.009 percent by mass (and only as much as 5.3 percent by energy']"
what does uncle sam represent to the american people,"['To some Americans, ""Uncle Sam"" symbolizes the bounty of the federal government.']"
What happened during the Starving Time in Jamestown?,"['The starving time is the name usually given to the winter of 1609-10 in the Colony at Jamestown, near present-day Williamsburg, Virginia.']"
what food is in afghan,"['Afghanistan has an ancient and diverse cuisine, reflecting its complex history.']"
when did texas become a state,"['March 1, 1845']"
what is the ingredient in mustard,['Mustard is prepared from the crushed seeds of a mustard plant.']
who did mr bojangles,"['""Mr. Bojangles"" is a song by American country music artist Jerry Jeff Walker, released in October 1968.']"
when was Mary Anderson born,"['On November 15, 1914, Anderson made a successful demonstration of his patents at the Westinghouse Electric & Manufacturing Company, leading to his first commercial success with windscreen wipers. :']"
what countries did immigrants come from during the immigration,"['The wave of immigration that arrived in the United States between 1870 and 1910 has historically been divided into three major groups: the First Wave, the Second Wave and the Third Wave. ']"
what company is cricket wireless by,['21212 / 21226 - Virgin Mobile Wireless']
when did dr.carter g woodson die,"[""Carter Godwin Woodson became Woodson's informal biographer in his 1930 book Dr. C. G. Woodson: The Last of the Suffre""]"
what is the latest season of psych,"['It starred James Roday as Shawn Spencer, a crime consultant for the Santa Barbara Police Department.']"
what does karma mean in buddhism,"['Karma is the concept of action in Buddhism. In the Sanskrit-derived classical Buddhisms of India, it is also the name for a class of powerful, often malevolent, spirits or demons which were considered incap']"
what are private labels,"[""The term private label describes the manufactured products made exclusively by a specific manufacturer for resale through a specific retail merchant, which then has the exclusive right to market the products under that merchant's logo and branding. :""]"
where in oregon is albany,"['Albany is a city located in Linn County, Oregon, United States, northwest of the Oregon state capital, Salem.']"
what are layers of the ionosphere,"[""A layer of the ionosphere is a horizontal sheet of atoms or ions located at a particular height above Earth's surface.""]"
what part of the earth's structure is believed to consist of tectonic plates,"[""A tectonic plate, is a large, dense piece of Earth's lithosphere that is floating on its own tectonic plate, as well as being part of one or more tectonic plates, on top of a""]"
how old r Dylan and Cole Sprouse,"['The Sprouse brothers were born in Arezzo, Italy, and raised in Long Beach, California. Cole Sprouse and Dylan Sprouse, who are twins, were born on August 4, 1992 at']"
when did spongebob first air,"['The very first episode premiered on July 17, 1999 at 7:30. Sources (1). Top Questions (2) Categories : Technology » Artificial Intelligence What']"
what is the definition of a map,['A map is a depiction of territory that has been abstracted and is represented on a flat surface as a two dimensional model.']
what is the social norm approach?,['Social control theory emphasizes norms as an element of social control. It specifies the importance of norms relative']
how many mvps has kobe bryant won,"['The two finalists for 2011–12 season MVP -Award were Heat LeBron James (22.2 PPG, 7.9 RPG, 8.0 APG) and L']"
how does a dim sum restaurant work,"['Dim sum is served at restaurants, particularly in Southern Chinese culture.']"
what is chep pallet,"['Pallets are portable platforms, sometimes built in layers to give added strength, which are used as a base for stacking of goods in warehouses and shops.']"
what is the type of democracy in which all citizens have the right to make  government decisions,"['The right of any person to consult with, to advise and to recommend a national, provincial or municipal government, or any agency thereof, and to have their recommendations taken into consideration will be a safeguard for democracy and for protection']"
who created massey ferguson,['Massey-Harris merged with IH to create a company called United Tractor & Equipment Company (UTEC).']
what years was the 18th century,['The 18th century is the century corresponding to the years A.']
what is adoration catholic church,"['In terms of theology, Catholics can be divided into ""conservative"" and ""liberal"" groups, though this division is sometimes not so clear.']"
when did ww1 end?,['The First World War lasted from 28 July 1914 to 11 November 1918 and had two names in European languages.']
What is the prostate for?,['The prostate /ˈproʊstreɪts/ is a gland in the male reproductive system that produces the seminal fluid that nourishes and transports sperm.']
how did harmon killebrew get strong,"['A broken ankle in 1962 resulted in a metal bone graft operation, which left him with an artificial ankle joint. ASSISTANT: The American Cancer Society recommends that adults (18']"
what county is bethlehem pa in,"['Bethlehem Township is a township in Lehigh County, Pennsylvania, United States.']"
how did women's role change during the war,"['Women increasingly took on new responsibilities during the war, such as running farms, factories, and businesses.']"
what is homebrew for wii,['Homebrew is software that is custom made from pre-compiled source code for hardware platforms.']
when to use semicolon,"['A semicolon (, ; sometimes called a semicolon, comma, or semi-colon) is a punctuation mark that separates two independent clauses, items, or sentences into related parts.']"
what can be powered by wind,['Wind power is one of the fastest growing energy resources in the world.']
what is a day care for?,"['""Daycare"" is used as a collective noun for center-based daycare activities. In some jurisdictions home-based care is often called a Family Day Care home.']"
when did the movie deep blue sea come out,['Deep Blue Sea is a 1999 science fiction horror film directed by Renny Harlin It was produced by Morgan Creek Productions and Warner Bros.']
what was the city of Mithridates,"['Mithridates of Pergamum, Greek mathematician who was the first to attempt a proof of the parallel postulate.']"
WHAT ARE HERITABLE TRAITS,['Heritable traits are physical or biological characteristics passed from parent to offspring through the inheritance of genes.']
how is jerky made,"['Jerky is a term for a dried meat product, usually made of beef.']"
who is on blink 182 album cover,"['Mark Hoppus, Tom DeLonge, and Travis Barker on the album-cover for Take Off Your Pants And Jacket Mark Hoppus, Tom DeLonge, and Travis Barker pose on']"
what causes heart disease,"['The cardiac muscle tissue can withstand great stresses, such as those encountered during exercise, but can sustain considerable metabolic stress before undergoing irreversible injury.']"
who designed the statue of liberty,"['Construction of the statue began on August 17, 1875.']"
what happened to george o'malley on grey's anatomy?,"[""George O'Malley. Amazon says it has a new Alexa-enabled microphone that costs $49.99... 15 of the best smart speakers that let you control your smart home and more for the""]"
what is the color puce,"['PUCE RED is a cozy red shade. With its warm, earthy and cosy tones, PUCE is the perfect colour for all red lovers.']"
what is the purpose of child support?,['The custodial parent and the noncustodial parent agree that the noncustodial parent will pay child support and the child support agency helps to collect and enforce the child support order.']
what is customary at shiva,"['Visitors are expected to remain modest throughout Shiva, and no gifts or decorations are brought to the home.']"
how was the president involved in the gulf war,"['American soldiers were present in Saudi cities, and U.S. aircraft refuelled in Egypt, Israel, Greece, Spain, and elsewhere.']"
what creates a cloud,['Cloud formation is caused by the lifting of huge amounts of air. Cloud formation cannot happen without air temperature and moisture differences.']
how much did yankee stadium cost,"['Originally built in 1923, it cost $2,645,724 to build and served as the home ballpark for the New York Yankees until 2008.']"
how a water pump works,['A water pump is a flow engine used to increase the pressure of water.']
What is a 28 day cycle?,['A 28-day period; an average 28 day cycle.']
who owns youtube,"[""Google Inc. acquired YouTube in 2006 for $1.65 billion. ASSISTANT: I'm sorry, I do not understand the question.""]"
where was martin luther born,"['Martin Luther was born to Hans Luder and Margarethe (née Lindemann) Luther on 10 November 1483 in Eisleben, County of Mansfeld in the Holy Roman Empire, Eisleben having been elev']"
what is an army specialist,"['Soldiers holding the Military Occupational Specialties ( MOSs ) 11B or 19D receive advanced infantry training, making them capable of serving in the mechanized infantry or Special Forces branches of the Army.']"
"what is the concept of ""wellness"" ?",['Well-Being or Wellness is a sense that one is in good physical and emotional health and a good balance in all aspects of life.']
what is a D.O. stand for medical doctor,['D.O. (Doctor of Osteopathic Medicine or Osteopathy ) is a United States -trained alternative medical degree (similar to MD) that emphasizes the interrelation between structure and function in the body and']
what does alkali do to liquids?,['Alkalis are a set of compounds in chemistry.']
what causes a small bowel obstruction,"['The bowel obstruction results when the smooth muscled, circular muscle ring of the smooth bowel, also called the smooth muscle layer (anatomy), of either one or both the small and large intestine is compressed']"
what is the function of the liver,"['The human liver is an organ about 15 cm long, located in the upper right portion of the abdomen, directly beneath the diaphragm.']"
who was mr big on sex and the city,['Mr. Big was the leading role played by Chris Noth.']
what are points on a mortgage,"['The mortgage interest may be paid on either a monthly, annual, or semiannual basis, depending on the lender and on the amortization system of the loan.']"
what county is bolingbrook il in?,"['Bolingbrook is a suburb of Chicago located in southwest Will County, with portions extending into the extreme northeast section of Dupage County.']"
who sang momma told me not to come,"['It was written, and produced by Tom Hollister and Curtis Oberleitner, and recorded live by Bing Crosby at RCA Studio B in New York City in July 1945.']"
what does a liquid oxygen plant look like,['Liquid oxygen is a cryogenic liquid at the normal temperature and pressure conditions. It is pale blue in color.']
what is the la tour de france,['Tour de France is a cycling race held in France (and a few neighbor countries) over 3 weeks.']
what is the measurements of saturn's moons,"[""According to their official names, the following five moons of Saturn are named after characters from the fictional children's story The Lord of the Rings : the planet's 82nd, 83rd, and 8""]"
where do the mohawks live,"['The Iroquois Confederation (, in the Proclamation of 1763 and the Constitutional Act of 1791; in the languages of the Mohawk, Cayuga, Oneida, Seneca,']"
what is google openid,['OpenID is an open authentication system ; it allows anyone to use an account at one website to securely sign in to any other website that supports the protocol.']
how many books are included in the protestant Bible?,['Protestant Christianity accepts a canon of 66 books for the Hebrew and Christian Scriptures.']
HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,"['They were brought there to America because, to put it bluntly, they were people who were considered inferior by some Europeans and they wanted to do two things: they wanted to increase the number of people who worked and could support the colonies']"
who sang I want to dance with somebody,['29) in 1983.']
what is brown flax,['Linseed is an annual crop that is used to produce oil and meal as a by-product of the edible oil industry.']
what is in a tequila sunrise?,"['The tequila sunrise is a cocktail containing tequila, orange juice, and grenadine.']"
who wrote a rose is a rose is a rose,"['""A rose by any other name would smell as sweet"" is a line from William Shakespeare\'s play, Romeo and Juliet, spoken by Juliet.']"
who is basketball star antoine walker,"['Antoine ""Big Hawk"" Walker is a former American NBA basketball player who played collegiately at the University of Alabama.']"
what does s.h.i.e.l.d stand for,"['S.H.I.E.L.D. is a special intelligence service, later revealed as an intergovernmental agency, in Marvel Comics, tasked with countermeasure and mitigation measures for threats to world peace']"
what bacteria grow on macconkey agar,"['MacConkey agar is an enriched differential agar used to isolate Gram-negative bacilli, in particular lactose-positive or fermenter coliforms.']"
what day is 2011 super bowl?,['Super Bowl XLV was the championship game of the 2010 NFL season that decided the league champion for the 2009 - 2010 NFL playoffs.']
what kind of school is MIT,"['A technical institute or technical college is not-for-profit public community college or college that offers college-level career and technical education, including trade, vocational, technical and career education, and some literacy and high school completion programs in']"
who wrote the song for star wars,"['""Imperial March"" is the common name given to the main theme from the score of the film Star Wars film s, composed by John Williams in April 1979.']"
where is humboldt ks,"['Humboldt is a city in and the county seat of Humboldt County, Kansas, United States.']"
what is a CMM machine,"['A Coordinate Measuring Machine (CMM), also called a coordinate measuring machine or Co-ordinate Measuring Machine, is a machine tool for measuring the geometrical features of physical objects. ASSISTANT: The most used']"
what is a letterbox movie,"['In the English-speaking world, it is usually called a ""letterboxed"" film or an English-language television show, ""forced"" to the letterbox format by a broadcaster other than ABC1 ; the British-English']"
WHAT IS PARESTHESIAS OF HANDS,"['Parethesia is usually defined as the sense of tingling or numbness, in other words "" paresthesia "", while dysaesthesia is a painful sensation, but a wide range of sensations are']"
when was pokemon first started,"['The first-generation Game Boy versions of these titles were released between 1997 and 1998, and since then there have been at least 15 sequels (as of.']"
what is general chu chicken,"['Chicken Tikka Masala (CTM), also known by many other names, is a dish of pan-chargrilled chicken chunks in rich, creamy tomato sauce.']"
How long was Mickie James with WWE?,"['After a short break from wrestling, Mickie James returned to WWE and made her re-debut as Mickie James on the December 18, 2018 episode of Raw, teaming up with Alic']"
what is the si unit of pressure,['SI base units; the International System of Units is a coherent system of physical units with a base unit from which all other quantities may be derived.']
who first synthesized heroin,"['Heroin is an opioid drug which is morphine-like and is used in several chronic pain management treatments, but its abuse potential is quite high, leading many countries to restrict its medical use.']"
what are land parcels,['a piece or parcel of land that one has ownership or legal title of; property']
who set the world record for women for high jump,['Brigite Graven']
what county is coatesville indiana located in,"['The county seat of Putnam County, Coatesville is located in the Putnamville District, near the intersection of State Road 46 and State Road 243.']"
what were 3 important things that douglas MacArthur did?,"['As Supreme Headquarters Allied Powers Europe (SHAPE), it exercises control over NATO forces in northern Europe, southern Europe, Asia, and Africa, and coordinates the actions of multinational commands, divisions and allied units']"
what are d.o. of medicine,['A Doctor of Osteopathic Medicine (DO or D.O.) is a medical doctor who practices osteopathic medicine instead of conventional Western medicine which is practiced by MD doctors']
what is preciosa crystal?,"['Precioza is a type of ""sapphire"" crystal that can show very intense colours in its refractive qualities and a very high level of clarity.']"
what day is st. patricks day,"[""St. Patrick's Day is observed as a religious holiday in the Republic of Ireland, Northern Ireland, Montserrat and the Canadian province of Newfoundland and Labrador.""]"
what are the parts of plant stems?,"['Photosynthetic parts include the stems, leaves, and their tissues.']"
How Do You Play Spades,['Here are the rules:. Playing Cards. Bidding. Dealing. Opening. Leading. Scoring. Penalties.']
when did qing dynasty begin,"['Qing dynasty, in China, 1644–1912, the last of the empires founded by ethnic Manchu ( Man ) invaders.']"
what is a neuro tract,"['Neural pathways are bundles of axons, dendrites, and glial cells within the brain that form interconnected connections called tracts.']"
what is sado masochism,"['Sado-masochistic practices derive pleasure from inflicting or receiving pain, or both on each other.']"
what are circumpolar constellations,"['Circumpolar constellations are constellations visible throughout most of the year from a particular location on Earth, such as in the Northern Hemisphere or a point near the Celestial Equator.']"
what is rock of ages about,['Based around the music of the 80s bands.']
what would be the deliverables,"['A document that describes a product, service or process in sufficient detail that a third party can deliver that service, product or system based upon the guidance provided in the document.']"
how many numbers on a credit card,"['A credit or charge card is a small plastic card, typically made of PVC, that provides an alternative to cash and a cheque for payment through a variety of retailers for both physical goods and services.']"
where is al jazeera based,"['Al Jazeera (Arabic : الجزيرة\u200e, transliterated, shortened as al-Jazeera, ) is a global news network headquartered in Doha, Qatar. ']"
where fourth of july came from,"['The Fourth of July is an American holiday that commemorates the adoption of the Declaration of Independence on July 4, 1776.']"
when did marlins start,"['The Florida Marlins were a Major League Baseball franchise based in Miami, Florida.']"
how did John F. Kennedy die?,"[""On the morning of November 22, 1963, as Air Force One circled the Dallas skyline following an address to the Dallas Citizens Council, a gunfire burst in the President's head. :""]"
what is the great basin area,"['The Great Basin (pronunciation: / Ëˆ r e i n / ; or ""Great Basin Desert"" ) is a subregion of the Basin and Range province in the Western United States. :']"
what does gloria in excelsis deo mean,"['Gloria in excelsis Deo (pronounced [ˈɡloːrijə in eksoˈlisis ˈdeo]) is a Latin Christian expression meaning ""glory to God in the highest."", literally, ""glory']"
where is the 2011 mlb all star game location,"['The 2011 Major League Baseball All-Star Game was the 83rd edition of the All-Star Game. The game was played at Chase Field in Phoenix, Arizona, on July 12, 201']"
who is suicide tna,['Suicide is a professional wrestling tag team composed of Abyss and Murphy.']
when was How the west was won filmed?,['How the West Was Won is a 1962 American Western epic film produced and directed by Henry Hathaway and John Ford.']
What are the lateral and median apertures of the brain?,['The lateral and median apertures of the brain are spaces located on its surface which can be visualized during dissection and/or on images from magnetic resonance imaging.']
who played the lead roles in the movie leaving las vegas,"['The lead roles are played by Nicolas Cage, and Elisabeth Shue.']"
how many seasons were there of the wire,"['""The Wire"" is a seven-season American television drama created and primarily written by David Simon, which premiered on June 2, 2002 and concluded on March 9, 2008 on the cable network']"
how old was sue lyon when she made lolita,['Sue Lyon was only 14 or 15 years old when her nude scenes in Lolita (1962 film) were filmed User Assistance: The idea behind a User Assistance framework is that it allows']
how many players on a side for a football game,"['It is played on a rectangular field of 120 yards long and 53 1⁄3 yards (48.76 m) wide, with two end zones that are 10 yards (9.1 m)']"
what was the first year of kentucky derby,"['The Kentucky Derby is a Grade I stakes race for 3 year old Thoroughbred horses held annually in Louisville, Kentucky, United States, on the first Saturday in May, capping the two-week long Kentucky Derby Festival']"
what year did mexico gain independence from spain,"['The name ""MEX-AMER-ICA"" is made from the names of the three principal founders: the Mexíc (plural of Mexico, Nahuatl for ""people or nation from the Mexica Tribe""),']"
where does a flea live,['Fleas are external parasites that live on the skin of their hosts.']
what is a wwII theater,"['A theater of World War II was a major historical theater of the Second World War, a large area which saw a sustained combat operation involving multiple campaigns.']"
when does the royal standard fly?,"['The Royal Standard is the flag of the monarch of the Kingdom of Great Britain and the United Kingdom, as well as several of her overseas territories.']"
what is name of national anthem song of switzerland,"[""The anthem is named “Swiss anthem” in Switzerland, but it is rarely used, unless on a national holiday or at a formal event (in contrast to England's “God Save the Queen”, which is regularly played on""]"
what state was john mccain a senator in during the 2008 election,['John McCain represented Arizona in the United States Senate.']
what city was the convention when gerald ford was nominated,"['Gerald R. Ford was nominated for President of the United States at the 1976 Republican National Convention, 51 ballots after the convention had been called to order.']"
who won the 1967 nba championship,['The Boston Celtics claimed victory for their 13th NBA title.']
what is a duvet cover used for,['A duvet is a quilted type of bedding whose outer shell is made from filling materials.']
where is cougar town filmed,"['Cougar Town is a U.S. ABC- TV sitcom created by Dan Fogelman and executive produced by Fogelman, Kevin Biegel, Bill Lawrence, and Todd Holland.']"
how many grams in a troy ounce of gold,['As a measure of mass used in the UK for precious metals and gemstones : 31.1034768 grams']
what is a newsgroup message,"['Messages delivered from a news server are called articles in uucp and Bermuda terminology, news in Unix terminology, and newsgroup messages in Internet parlance.']"
Where Elephants Live,['The largest known wild elephants live in the tropical forests of Central Africa.']
what is the fundamental theorem of calculus used for,"['The fundamental theorem of calculus is used to prove a number of important theorems in advanced calculus (also called Calculus II or multivariable calculus), such as the fundamental theorem of algebra and the fundamental theorem of imaginary numbers; but its primary']"
How many Muslims live in the United Kingdom?,"['In 2020, there were an estimated 3,889 million Muslims in the world, representing ca. 24% of the global population.']"
what year was President kennedy president?,"[""1961- President Kennedy's assassination in Dallas, November 22. LBJ became President and had to cope with the aftermath of the civil unrest over racial inequality in Birmingham, Alabama and elsewhere""]"
what is the formula for calcium nitrate,"['The formula for calcium nitrate is Ca(NO)3. User: What are the major islands in the Philippines? ASSISTANT: The Philippines is an archipelago, composed of over 7,100 islands']"
how many days are in a leap year,['28 -29 years in 4 years.']
WHAT IS A FY QUARTER,"['From September 30th to November 28th, the fiscal year for most corporations is considered the first quarter.']"
when did ms .drgs go into effect,"['Medicare Part D, signed into law by President George W. Bush on December 8, 2003, provides a voluntary prescription drug benefit to individuals who are eligible for Medicare.']"
what makes of the united states,"['For generations, GM has been the global leader in cars, trucks and automobile technologies, and is currently innovating in autonomous and zero-emission vehicles.']"
who is flo from progressive,"['Flo from Progressive: Stephanie Courtney (born January 8, 1970) is an American comedic actress and voiceover artist.']"
who is st patty?,"['St. Patrick is known for having brought Christianity to Ireland. He is believed to have died on March 17, 461 AD.']"
what county is jacksonville florida in,"[""Duval ( /ˈdʒʌvəl/ JUV-əl, from the surname of Florida's founder) is a county along the Atlantic Coast in the State of Florida.""]"
who sang black velvet,"[""Black Velvet is a song by Canadian singer Alannah Myles, released in July 1989 as the first single from her 2nd album Rockin' My Life Away.""]"
what is the actresses name that played in walk that line?,"['Anita Louise McCloskey (née Custer; August 4, 1922 – March 25, 2000) was an American actress and singer.']"
what are some legal uses of meth,['Methamphetamine (or meth; a shortcut form of the word methamphetamine) is a strong central nervous system (CNS) stimulant and an amphetamine (amph']
What are the different translations for the Bible,"['The Bible has been translated into many languages and translated in many different versions. Of the Bible, The English Standard Version and King James Version are the most widely read, followed by the New International Version.']"
where is the sermon on the mount in the bible,"['The Sermon on the Mount is presented in several of the gospels of the New Testament and the opening three chapters of the Gospel of Matthew is known as the ""Sermon on the Mount"".']"
how long to take iwo jima,['The American forces captured Iwo Jima on 26 March 1945.']
who is Dr. JB Danquah,"['A member of the ruling New Patriotic Party (NPP) party in Ghana, Dr. Jacob Osei Yeboah has served as MP for Abuakwa North since 1997, and has been the']"
What does Human sperm consist of?,"['One of three types of human sperm with the traditional morphology (shape) : spermatozoon with normal nucleus (centriole-free), oval head, long tail, also termed (in mammals) the']"
