question,answer
High Force is in County Durham but what is it,"['High Force is it the highest waterfall in England, 70-ft drop.']"
Which British footballer has the most number of International caps?,['Peter Shilton']
What make of car did Doc Brown turn into a time machine?,['Cars']
The statue of the 'Little Mermaid' is in the harbour of which city?,['The Statue of the Little Mermaid']
In which city did Dylan Thomas die?,['WOOD']
"X-Factor winner Joe McElderry failed to reach no 1 in the Christmas 2009 chart, which group did as a result of a concerted internet download campaign?",['X Factor (series 4)']
Which French painter lived and worked in Tahiti?,['Gaugin Gauguin']
"""From which Beatles song do the following lyrics come, """"Nothing's going to change my world""""?""",['I Want to Hold your Hand']
"How is 'Cedric Errol' referred to in the title of a famous children's novel, published in 1886?",['He who wears the breeches']
"Which serial killer hanged himself in Wakefield Prison in January 2004, four years after being found guilty of 15 murders?",['Harold Shipman']
What is the extra murder weapon in the 1999 50th Anniversary Cluedo game?,['Dagger']
Who was the commander of the German sixth army which fought and lost the Battle of Stalingrad ?,['Friedrich von Paulus']
"On which island is the city of Knossos, once the capital of the ancient Minoan civilisation?",['Knossos']
What is the flavouring of the liqueur Amaretto?,['Mandarins & almonds']
Porcupine grass is also known as what?,['Stipa tenuissima']
Which is the highest mountain in North America?,['Mount Mckinley']
What color is the lowest level of the Homeland Security Advisory System?,['A']
What type of creature is a louvar?,['A bird']
What is the name of the London Underground station in EastEnders?,['Albert Square Station']
Who was the first of these to become US President?,['Eisenhower']
Which admiral commanded the British fleet sent to repel the Spanish Armada in 1588?,['Francis Drake']
The USS Langley was the country's first type of which vessel?,['US Aircraft Carrier']
Who is the father of the twin boys born to Brooke Mueller on 14 March 2009?,['Charlie Mueller-Sheen']
Who became the host of the UK television game show Blankety Blank in 1984?,['Lily Savage']
"""Which French artist, along with Picasso, was a founder of Cubism ? He designed sets for Diaghilev ballets and was awarded the Legion D'Honneur. Among his works are """"The Woman Musician"""" and """"The Candlestick"""".""","['Which French artist, along with Picasso, was a founder of Cubism? He designed sets for Diaghilev ballets and was awarded the Legion D\'Honneur. Among his works are """"The Woman Musician"""" and """"The']"
A gerber was an alternative name for which traditional trade/craftsman?,['Dock']
Of the ten most populated cities of the USA which is furthest north?,['New York']
What was the name if the submarine lost in Liverpool Bay in June 1939?,['Royal Navy Submarine Holland I']
Bole is a shade of which colour?,['Yellow']
Which 'Smokey' Robinson hit took 'Japan' to number nine in 1982?,"[""Who's That Man""]"
How many players are there in a Curling team?,"[""It's a great day in the neighborhood""]"
What country has the largest amount of rainforest?,['Brazil']
Body on Tap brand shampoo contained what special ingredient?,['Malt']
"In the NATO alphabet, what word is used to denote the letter N?",['November']
Who was the husband of Lady Jane Grey?,['Dudley']
"According to the Bible, who was the only apostle to witness the crucifixion of Jesus?",['Peter']
"Regarded as its Nobel Prize, in what field is the annual Pritzer Prize awarded?",['Regarded as its Nobel Prize']
Who was the King of Troy during the famous siege?,"['Troy AUTHOR: G.K. Chesterton. QUOTATION: “I may be said to represent the stupid half of humanity, and I take my stand beside the stupid half on one argument. What we stupid']"
What was the name of the character played by Chuck Connors in The Rifleman,['Lucas McCain']
Which constituency did Harold Macmillan represent when he was Prime Minister?,['Bromley']
"The German's called it the Siegfried Line, what did the allies call it?",['Siegfreit Line']
Andy Schleck competes in what sport at an international level?,['2010 Tour de France']
Which Palestinian co-founded al Fatah in 1957?,['Yasser Arafat']
Which member of Led Zeppelin appeared at Glastonbury this year with his current band The Sensational Space Shifters?,['John Bonham']
Which historical 17th century event would you associate with the Monteagle Letter?,['Gunpowder Plot 2014']
What is the largest lake in Central America?,['Lake Managua']
A turophile is a lover of which foodstuff?,['Slices of bread that were inadvertently not picked up when baking in a tandoor?']
On the Beaufort scale what is defined as force 11?,['14:55']
"In Switzerland, 1978, the corpse of which entertainer was reburied in concrete after it was recovered from extortionists?","[""Richard Burton It's a nice idea but it's a bit too narrow to be very useful. It's only ever going to be able to answer two kinds of simple factual questions: (1) Which X is bigger than""]"
Who was the snooker player that beat Steve Davis in a world snooker final after being 8 - 0 down?,['Joe Johnson']
Which sea lies between Italy and the former Yugoslavia?,['YUZZ']
"Where does the infamous ""Streif"" downhill ski race take place?",['Kitzbhel']
What country does Waterford crystal come from?,['Crystal']
What flower was named after the Duke of Cumberland,['Thistle']
Mount Godwin-Austen is better known by which name?,['Mount Everest']
Which athlete was nicknamed The Jarrow Arrow?,['Tommy Simpson']
"""What, in 2010, was Pope Benedict reported to have described as an """"...expression of the gift of oneself to God and others..""""?""",['Faith']
"""Which is the preposition in the sentence """"Mary put her dog in the basket""""?""",['basket']
Which National Trail runs for 268 miles from Edale to Kirk Yetholm?,['Pennine Way']
What is the second biggest city in the UK?,['City of Bristol']
Who won the Oscar for Best Film Director for the film Silence of the Lambs?,['Johnathan Demme']
"Which tree, native to Western Australia, has flowers that are used to make honey, and long, straight trunks which provide a deep rich reddish-brown, termite-resistant wood with an attractive grain?",['㍘ ㍑']
"Who is the Vice President, and High Representative of the European Union for Foreign Affairs and Security Policy?",['FEDERATION']
Which is the most southerly country of the EU?,['Eire']
In what country did Venetian blinds originate?,['Veneza']
What is the name of the UK Women's Prize for Fiction?,['Orange Broadband Prize for Fiction']
In which year was the battle of Rorke's Drift?,['22nd January 1879']
Ursus arctos horribilis is the scientific name of which animal?,['Bear']
"Marat, Robespierre, Danton are names associated with what event at the end of the 18th century?",['Revolutions and the Reign of Terror']
"The Battle of Asculum took place in 279 BC between the Romans and the Greeks in which the Romans lost 6,000 men, while the Greeks lost 3,500, including many of their officers. Who commanded the 'victorious' Greeks?",['Pyrrhus']
Which doctor - an eternal optimist – features in Voltaire’s Candide?,['Cornelius']
Greek philosopher Socrates was sentenced to death by drinking which kind of poison ?,['Hemlock']
What European country has 227 inhabited islands?,['Portugal']
Which French chemist produced the first vaccine against Anthrax?,['Louis Pasteur (France)']
What colour are the two stars on the national flag of Syria?,['Two-starring']
What is the capital of Algeria,['Djma']
What is the spiked stick or prod used for driving cattle called?,['Ripper']
What is the name forthe leaf of a fern or palm?,"['In botany, a leaf is an above-ground plant organ specialised for photosynthesis and']"
The names for the satellites of which planet are chosen from characters from the works of William Shakespeare and Alexander Pope?,['Uranus']
"Which continent has the world's highest waterfall, largest river by volume, longest mountain range, driest place, largest rainforest, highest capital city, and highest commercially navigable lake?",['South America']
John Chapter 11 Verse 35 is the shortest verse in the Bible. How many words make up the verse?,['T']
"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",['Melody Gardot']
"Sep 21, 1981 saw the confirmation of which associate justice, the first female Supreme Court justice?","[""Sandra Day O'Connor""]"
How is seasonal allergic rhinitis more commonly known ?,['Hay fever']
"According to the Bible, what was Eve made from?","[""Adam's rib""]"
"Gary, Jason, Mark and Howard are all members of which British band?",['Echobelly']
"The Levant, (deriving from 15th century French, lever, 'rising', relating to the Eastern sunrise) refers to what part of the world?",['Asia']
What TV show takes place at the fictional Seattle Grace Hospital?,['9921.4']
Which famous London events which occurred between April 10th and April 12th 1981 were dealt with in the Scarman report?,['Brixton riot']
"Between 1956 and 1968, the American athlete Al oerter won four consecutive Olympic gold medals in which filed event?",['Javelin Throw']
